着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,8,シベリアンスパーブ,牡6,57,田中勝春,1:33.2,,16.3,8,504(0),[東] 手塚貴久
2,2,4,セイクレットレーヴ,牡6,57,松岡正海,1:33.4,1.1/4,22.2,10,468(-6),[東] 田中清隆
3,1,2,マイネルメリエンダ,牡4,57,柴田大知,1:33.4,クビ,3.6,1,484(+4),[東] 和田正一
4,5,10,ウインフェニックス,牡4,57,三浦皇成,1:33.5,クビ,5.7,2,472(+10),[東] 奥平雅士
5,5,9,アンブリッジ,牡5,57,柴田善臣,1:33.5,クビ,7.2,3,468(-4),[東] 宗像義忠
6,6,11,ペイシャフェリス,牝4,55,柴山雄一,1:33.5,ハナ,11.8,6,458(+26),[東] 高市圭二
7,7,13,チェリーヒロイン,牝6,55,横山典弘,1:33.6,クビ,40.2,12,424(+6),[東] 和田正一
8,3,6,オメガキングティー,牡5,57,北村宏司,1:33.6,ハナ,19.2,9,474(0),[東] 斎藤誠
9,1,1,ジャーエスペランサ,牡6,57,石川裕紀,1:33.6,クビ,90.5,15,476(+2),[東] 相沢郁
10,7,14,エンドレスノット,牝6,55,蛯名正義,1:33.8,1.1/4,94.6,16,494(+6),[東] 国枝栄
11,8,16,ケイアイチョウサン,牡5,57,吉田豊,1:33.8,ハナ,32.7,11,448(-4),[東] 和田正道
12,6,12,カフェリュウジン,牡5,57,石橋脩,1:33.8,クビ,50.1,13,536(+2),[東] 和田雄二
13,3,5,メイショウインロウ,牡6,57,江田照男,1:33.8,ハナ,57.6,14,526(-4),[西] 高橋亮
14,8,15,ウインマーレライ,牡4,57,丹内祐次,1:33.8,ハナ,9.2,5,500(+6),[東] 高木登
15,2,3,ダンツキャンサー,牝4,55,岩田康誠,1:34.0,1.1/4,8.6,4,458(-16),[西] 谷潔
16,4,7,マーブルカテドラル,牝4,55,大野拓弥,1:34.2,1.1/4,12.0,7,452(+8),[東] 上原博之
