着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,14,ビービーサレンダー,牡2,55,伊藤工真,1:12.4,,2.0,1,478(+8),[東] 久保田貴
2,4,8,シゲルサケガシラ,牡2,55,吉田隼人,1:12.5,3/4,11.8,4,446(0),[東] 伊藤圭三
3,2,4,タイセイラルーナ,牝2,54,横山典弘,1:12.8,1.3/4,8.7,3,482(+2),[東] 蛯名利弘
4,2,3,ブロワ,牝2,54,嘉藤貴行,1:13.0,1.1/4,18.5,5,456(+4),[東] 尾関知人
5,3,6,ロンドンタウン,牡2,55,川須栄彦,1:13.4,2.1/2,2.8,2,510(+4),[西] 牧田和弥
6,7,13,コットンパール,牝2,54,長岡禎仁,1:13.4,ハナ,235.1,15,442(+6),[東] 高市圭二
7,5,9,マカーオーン,牡2,55,吉田豊,1:13.6,1.1/4,32.6,7,476(+2),[東] 古賀史生
8,6,12,ニシノグリーディ,牝2,54,大野拓弥,1:13.6,アタマ,27.0,6,442(+8),[東] 奥平雅士
9,8,15,デルマオカル,牝2,54,横山和生,1:13.7,3/4,144.8,13,462(0),[東] 古賀史生
10,1,2,グレートヒット,牡2,55,丹内祐次,1:13.8,1/2,65.4,10,450(+6),[東] 武井亮
11,8,16,ファジーネーブル,牝2,54,岩部純二,1:13.9,クビ,51.3,8,410(-2),[東] 高橋祥泰
12,5,10,キャラメルサレ,牝2,54,西田雄一,1:14.1,1,336.8,16,468(0),[東] 根本康広
13,3,5,ハタノインサイト,牝2,54,田中勝春,1:14.3,1.1/2,168.3,14,476(0),[東] 小島太
14,4,7,アポロジョージア,牡2,52,井上敏樹,1:14.5,3/4,63.1,9,454(-2),[東] 尾形和幸
15,6,11,エムティーシャトル,牝2,54,江田照男,1:14.6,3/4,115.8,12,486(-2),[東] 清水英克
16,1,1,レディエントブルー,牝2,53,石川裕紀,1:14.7,1/2,93.8,11,456(-2),[東] 尾形和幸
