着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,メイショウライナー,牡5,57,武豊,1:20.7,,7.4,4,478(+2),[西] 高橋義忠
2,8,12,ドラゴンストリート,牡4,57,福永祐一,1:20.9,1,2.7,1,476(0),[西] 藤原英昭
3,3,3,セトノフラッパー,牝5,55,田中健,1:21.1,1.1/4,37.9,10,460(+10),[西] 南井克巳
4,6,9,コウエイタケル,牡4,57,松山弘平,1:21.3,1.1/4,21.9,6,478(-4),[西] 山内研二
5,4,5,ベッラヴォーチェ,牝5,55,浜中俊,1:21.3,クビ,3.9,2,454(+6),[西] 野中賢二
6,2,2,ケイアイユニコーン,牡6,57,秋山真一,1:21.4,クビ,34.8,9,502(+2),[西] 山内研二
7,8,13,ライブリシュネル,牡5,57,田辺裕信,1:21.5,3/4,174.4,13,478(+2),[西] 森田直行
8,7,11,ステイウェル,牡5,57,ルメール,1:21.5,クビ,4.1,3,492(-2),[西] 佐々木晶
9,6,8,ラーストチカ,牝5,55,岩田康誠,1:21.6,1/2,29.9,8,450(0),[西] 宮徹
10,5,6,ウエスタンムサシ,牡6,57,内田博幸,1:21.6,アタマ,28.4,7,518(0),[西] 崎山博樹
11,7,10,アドマイヤクーガー,牡7,57,川田将雅,1:21.7,3/4,69.2,11,468(+2),[西] 松田博資
12,4,4,サンキストロード,牡5,57,幸英明,1:22.1,2.1/2,72.5,12,518(+2),[西] 宮徹
13,5,7,コスモグラウベ,牡4,57,戸崎圭太,1:22.2,クビ,16.4,5,454(+2),[西] 西園正都
