着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,12,ドリームカイザー,牡4,57,川田将雅,1:11.4,,3.3,1,506(-4),[西] 飯田雄三
2,7,13,エイシンファイヤー,牡3,56,岩田康誠,1:11.6,1.1/2,10.4,4,494(-2),[西] 坂口正則
3,4,7,ティップトップ,牝4,55,藤岡康太,1:11.8,3/4,3.3,2,512(0),[西] 千田輝彦
4,1,2,ミカエルシチー,牡3,56,ルメール,1:11.8,ハナ,4.1,3,532(+12),[西] 橋口弘次
5,3,6,ノボリクリーン,牡3,56,和田竜二,1:11.8,クビ,29.2,9,470(0),[西] 石橋守
6,2,3,リナクリスタル,牝4,53,義英真,1:12.3,3,217.4,14,468(-4),[西] 西村真幸
7,1,1,エピックウィン,牡3,56,小牧太,1:12.6,1.3/4,15.7,6,460(-2),[西] 沖芳夫
8,5,9,プライマリーコード,牝4,55,浜中俊,1:13.1,3,13.6,5,482(+14),[西] 佐々木晶
9,2,4,ラブコール,牝4,52,加藤祥太,1:13.2,1/2,358.8,15,438(-27),[西] 長浜博之
10,6,11,スパイスシャワー,牝4,52,鮫島克駿,1:13.3,クビ,155.5,13,460(-8),[西] 矢作芳人
11,8,16,ジャミールカズマ,牡3,56,国分優作,1:13.4,3/4,43.9,10,486(0),[西] 西浦勝一
12,8,15,テイエムシシオー,牡6,56,松若風馬,1:13.5,1/2,51.1,11,490(-4),[西] 清水久詞
13,5,10,スズカチャンプ,牡6,57,酒井学,1:13.7,1.1/4,106.2,12,502(+6),[西] 坪憲章
14,4,8,グランドデザイン,牝3,54,松山弘平,1:13.9,1.1/4,28.2,7,458(0),[西] 村山明
15,3,5,ミリオンフレッシュ,牡5,57,北村友一,1:14.1,3/4,28.6,8,484(0),[西] 本田優
16,7,14,アグリナンバーワン,牝3,54,藤懸貴志,1:14.6,3,525.0,16,396(-8),[西] 坪憲章
