着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,9,メドウラーク,牡4,56,松田大作,1:59.9,,2.4,1,500(0),[西] 橋田満
2,4,4,マイネルプレッジ,牡4,56,丹内祐次,1:59.9,ハナ,23.3,8,432(-4),[西] 宮本博
3,1,1,ウインインスパイア,牡4,56,丸山元気,1:59.9,クビ,7.2,3,446(+4),[東] 斎藤誠
4,5,5,メイショウビザン,牝4,54,吉田隼人,2:00.1,1.1/4,3.5,2,496(0),[西] 荒川義之
5,7,8,スマッシュスマイル,セ7,57,勝浦正樹,2:00.4,1.3/4,8.2,4,482(+2),[西] 長浜博之
6,6,7,レインオーバー,セ4,56,バルジュ,2:00.4,クビ,19.1,6,432(+4),[東] 堀宣行
7,6,6,シェーンメーア,牡5,57,杉原誠人,2:00.8,2.1/2,23.1,7,560(0),[東] 藤沢和雄
8,2,2,マイネルスパーブ,牡6,57,津村明秀,2:00.8,ハナ,9.5,5,478(0),[東] 小笠倫弘
9,3,3,レッドルシファー,牡4,56,川須栄彦,2:00.9,3/4,62.7,10,464(+12),[西] 矢作芳人
10,8,10,ナイトジャスミン,牝4,54,藤岡康太,2:01.4,3,28.8,9,392(0),[西] 吉田直弘
11,8,11,マイネルナタリス,牡8,57,黛弘人,2:02.7,8,109.3,11,464(-4),[東] 松山将樹
