着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,12,スーサンジョイ,牡3,54,和田竜二,1:44.7,,4.6,2.0,510(+12),[西] 岩元市三
2,8,15,コズミックショア,牝5,55,松山弘平,1:44.7,クビ,9.7,6.0,482(+6),[西] 今野貞一
3,7,14,シャトーウインド,牡5,57,酒井学,1:44.8,3/4,56.4,10.0,468(+2),[西] 松下武士
4,5,9,ガンジー,牡4,57,幸英明,1:45.0,1.1/4,6.8,3.0,502(+2),[西] 宮本博
5,3,6,オイルタウン,牡3,54,義英真,1:45.1,クビ,16.6,7.0,458(0),[西] 福島信晴
6,2,4,ワールドダンス,牡4,57,川田将雅,1:45.1,クビ,3.0,1.0,478(+2),[西] 須貝尚介
7,1,2,パーフェクトスコア,牡5,57,パートン,1:45.4,1.3/4,22.0,8.0,512(+8),[西] 高野友和
8,2,3,ゼンノスサノヲ,牡4,57,熊沢重文,1:45.4,クビ,64.4,12.0,472(-8),[西] 日吉正和
9,3,5,マッシヴランナー,牡3,54,藤岡佑介,1:45.4,クビ,48.4,9.0,518(+10),[西] 大橋勇樹
10,6,11,オウケンゴールド,牡4,57,松若風馬,1:45.6,1,7.1,4.0,490(+12),[西] 音無秀孝
11,5,10,アリエスジューゴー,牡3,54,鮫島良太,1:46.0,2.1/2,60.8,11.0,482(+6),[西] 武田博
12,4,8,キョウワランサー,牡4,57,国分優作,1:46.0,ハナ,89.1,14.0,476(+10),[西] 五十嵐忠
13,4,7,ヴェントアウレオ,牡4,57,国分恭介,1:46.1,1/2,258.8,15.0,484(+14),[西] 坪憲章
14,8,16,ダンツトーラス,牡4,57,秋山真一,1:46.4,1.3/4,70.1,13.0,516(-4),[西] 本田優
15,7,13,サンライズアルブル,牡4,57,浜中俊,1:50.2,大,8.4,5.0,484(+10),[西] 石坂正
除,1,1,ダンツキャッチ,セ4,57,太宰啓介,,,---,,494(-22),[西] 山内研二
