着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,11,トーセンビクトリー,牝3,52,武豊,1:47.9,,2.5,1.0,458(+10),[西] 角居勝彦
2,5,6,キリシマホーマ,牡4,57,松山弘平,1:48.1,1.1/2,7.5,4.0,522(+4),[西] 橋口弘次
3,6,8,サンセットスカイ,牡5,57,浜中俊,1:48.2,クビ,5.2,3.0,484(+4),[西] 宮本博
4,3,3,ブリュネット,牝5,55,幸英明,1:48.3,1/2,4.2,2.0,492(0),[西] 千田輝彦
5,7,10,ゴットラウディー,牡7,57,北村友一,1:48.5,1,20.1,6.0,474(+10),[西] 木原一良
6,4,4,ペプチドアマゾン,牡5,57,藤岡佑介,1:48.6,1/2,7.7,5.0,486(0),[西] 木原一良
7,7,9,クレスコモア,牡5,57,和田竜二,1:48.8,1.1/2,46.9,9.0,522(0),[西] 石坂正
8,2,2,ウェーブゴールド,牡4,57,鮫島克駿,1:48.8,ハナ,39.7,8.0,482(+4),[西] 松田博資
9,1,1,ヒロノプリンス,牡5,57,国分優作,1:49.1,1.3/4,20.4,7.0,458(+4),[西] 村山明
10,8,12,レッドシェリフ,牡7,57,松若風馬,1:49.3,1.1/4,50.2,10.0,502(-4),[西] 橋口弘次
11,6,7,グレートヴァリュー,牡7,57,中谷雄太,1:49.4,3/4,205.6,11.0,456(+2),[西] 北出成人
除,5,5,イデア,牡7,57,岩崎翼,,,---,,478(-10),[西] 河内洋
