着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,7,レッドカチューシャ,牝5,55,松岡正海,1:33.2,,47.3,11,480(-10),[西] 矢作芳人
2,5,6,クインズミラーグロ,牝3,52,吉田豊,1:33.3,1/2,7.9,5,438(+8),[東] 和田正道
3,1,1,メイショウメイゲツ,牝3,52,蛯名正義,1:33.5,1.1/4,3.3,1,428(+4),[東] 小島太
4,6,8,ウインスラッガー,牡6,57,大野拓弥,1:33.6,3/4,25.8,6,520(+2),[東] 畠山吉宏
5,4,5,パワースラッガー,牡4,57,田中勝春,1:33.7,3/4,7.4,4,478(-6),[東] 菊川正達
6,7,11,ソードラック,牡4,57,岩田康誠,1:34.0,1.3/4,4.4,3,460(-4),[東] 斎藤誠
7,4,4,マリーナベイ,牡4,57,内田博幸,1:34.0,クビ,40.0,8,492(+12),[東] 池上昌和
8,7,10,ショウナンダイチ,牡5,57,柴田善臣,1:34.0,ハナ,38.9,7,470(-4),[東] 古賀史生
9,8,13,ヒシワイルド,牡6,57,石川裕紀,1:34.1,1/2,42.6,9,474(-4),[東] 尾形和幸
10,2,2,バリアーモ,牝3,52,津村明秀,1:34.1,クビ,86.6,12,442(+12),[東] 高橋裕
11,6,9,ランドントウォーク,牡4,57,上野翔,1:34.7,3.1/2,130.3,13,484(-12),[東] 柴田政人
12,8,12,ウンプテンプ,牡4,57,Ｍ．デム,1:35.2,3,3.4,2,498(-6),[東] 田中剛
13,3,3,ソルプレーサ,牡3,54,嘉藤貴行,1:37.0,大,44.8,10,506(-4),[東] 堀井雅広
