着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,16,エスユーハリケーン,セ5,57,津村明秀,1:21.8,,9.7,5,482(+10),[東] 高橋祥泰
2,8,18,アドマイヤリバティ,牡3,55,勝浦正樹,1:21.8,クビ,7.0,2,496(+10),[西] 梅田智之
3,7,13,コスモイノセント,牡4,57,木幡初也,1:22.0,1,23.8,10,470(+4),[東] 高橋祥泰
4,2,4,アブソリュカフェ,牡4,57,村田一誠,1:22.0,クビ,32.0,12,488(+10),[東] 小島太
5,5,9,テイエムダンシング,牡3,55,義英真,1:22.1,1/2,14.7,9,472(-4),[西] 山内研二
6,6,11,ダイワソフィー,牝4,55,伊藤工真,1:22.1,クビ,59.2,14,474(+8),[東] 宗像義忠
7,8,17,シャンデリアハウス,牝3,53,吉田隼人,1:22.1,ハナ,4.1,1,434(-2),[西] 牧浦充徳
8,5,10,コスモエルデスト,牝4,55,丹内祐次,1:22.2,クビ,7.6,4,470(+18),[東] 畠山吉宏
9,4,8,シュンクルーズ,牡3,55,的場勇人,1:22.2,クビ,13.7,8,452(0),[東] 柄崎孝
10,1,2,ステイブレイズ,牝4,55,黛弘人,1:22.2,ハナ,89.1,17,478(-2),[東] 岩戸孝樹
11,7,14,メイショウラバンド,牝4,55,松田大作,1:22.3,クビ,12.5,7,444(-4),[西] 石橋守
12,4,7,ドルメロ,牡3,55,横山和生,1:22.5,1.1/4,30.3,11,468(+10),[東] 尾関知人
13,3,5,アミーキティア,牝3,53,丸田恭介,1:22.5,ハナ,11.8,6,462(+6),[東] 大竹正博
14,1,1,マイネプレセア,牝4,55,高倉稜,1:22.5,クビ,47.6,13,456(+2),[東] 和田正一
15,7,15,アスクジョーダン,牡3,55,北村友一,1:22.6,1/2,7.4,3,504(-4),[西] 野中賢二
16,2,3,イワヌガハナ,セ3,55,四位洋文,1:22.6,アタマ,95.2,18,472(+6),[東] 小野次郎
17,3,6,モントボーゲン,牝4,55,丸山元気,1:22.9,2,67.7,15,484(+8),[西] 池添学
18,6,12,バチスタ,牝3,53,加藤祥太,1:23.3,2.1/2,68.8,16,456(+14),[西] 須貝尚介
