着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,アラモアナワヒネ,牝2,54,藤田伸二,1:31.4,,11.0,6,448(0),[西] 池添兼雄
2,1,1,サトノサンシャイン,牝2,54,福永祐一,1:31.7,2,2.6,1,408(0),[西] 安田隆行
3,6,7,スミレ,牝2,54,ルメール,1:31.8,クビ,4.8,2,440(0),[東] 加藤征弘
4,8,11,サウンドダンサー,牝2,54,武豊,1:31.8,ハナ,6.1,3,444(0),[西] 佐藤正雄
5,7,10,レーヌドコロール,牝2,54,池添謙一,1:32.2,2.1/2,8.0,4,490(0),[西] 角田晃一
6,8,12,ポッドガゼール,牝2,54,勝浦正樹,1:32.2,アタマ,14.9,7,458(0),[東] 武市康男
7,5,6,ルーレットクイーン,牝2,54,丹内祐次,1:32.4,1.1/4,88.4,9,446(0),[東] 武井亮
8,7,9,メイショウボーテ,牝2,54,藤岡康太,1:32.4,アタマ,8.6,5,474(0),[東] 小島太
9,3,3,エクラパール,牝2,51,井上敏樹,1:32.7,2,46.2,8,442(0),[東] 本間忍
10,5,5,ヤマノスプリンター,牝2,54,黛弘人,1:33.1,2.1/2,143.6,11,458(0),[東] 伊藤伸一
11,6,8,コンサバ,牝2,54,丸田恭介,1:33.9,5,93.2,10,414(0),[東] 高橋文雅
中,4,4,グラスアンジェラ,牝2,54,長岡禎仁,,,283.6,12,458(0),[東] 大江原哲
