着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,12,ワイルドコットン,牡4,57,勝浦正樹,1:45.8,,4.7,3,486(0),[東] 池上昌和
2,4,5,クロフネフリート,牡4,57,武豊,1:45.8,クビ,7.1,4,528(-6),[東] 戸田博文
3,6,9,カレンマタドール,セ4,57,藤岡康太,1:45.9,3/4,9.4,5,508(0),[西] 安田隆行
4,5,6,レッドアライヴ,牡4,57,藤田伸二,1:45.9,ハナ,30.0,8,466(+8),[西] 松永幹夫
5,1,1,ブルールーク,牡3,54,吉田隼人,1:46.0,1/2,3.8,2,480(+6),[西] 牧浦充徳
6,7,11,セルリアンラビット,牡6,57,古川吉洋,1:46.2,3/4,70.7,11,454(0),[西] 飯田雄三
7,5,7,キングイマデショウ,牡3,54,横山典弘,1:46.2,アタマ,17.4,6,468(-4),[東] 蛯名利弘
8,2,2,デモニオ,牡4,57,岩田康誠,1:46.2,アタマ,2.9,1,492(+2),[西] 友道康夫
9,7,10,セフティーエムアイ,牡4,57,小林徹弥,1:46.7,3,48.7,9,464(-6),[西] 目野哲也
10,8,13,ヤマイチキセキ,牡3,54,幸英明,1:46.9,1.1/4,59.3,10,488(+8),[西] 山内研二
11,4,4,ウインヤード,牡4,54,井上敏樹,1:47.0,1/2,168.4,12,466(+4),[東] 小桧山悟
12,6,8,ビービーボイジャー,牡5,57,丸山元気,1:47.8,5,23.3,7,500(0),[東] 高柳瑞樹
13,3,3,ソリッドアクシス,牡3,54,長岡禎仁,1:47.8,クビ,371.8,13,446(+4),[東] 堀井雅広
