着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,3,アドマイヤゴッド,牡3,54,丸山元気,1:08.9,,15.3,7,492(-4),[西] 須貝尚介
2,8,16,エクシードリミッツ,牝3,52,三浦皇成,1:09.0,3/4,6.3,2,470(+6),[西] 須貝尚介
3,8,15,コスモマイルール,牝4,55,井上敏樹,1:09.1,1/2,329.5,16,444(-6),[東] 萱野浩二
4,1,1,ダイワプロパー,牝3,52,加藤祥太,1:09.1,クビ,6.5,3,480(-4),[西] 松田国英
5,3,5,サウンドドゥイット,牡3,54,松田大作,1:09.2,1/2,11.0,6,454(+4),[西] 吉田直弘
6,1,2,イズモ,牡3,54,柴山雄一,1:09.3,3/4,41.2,12,458(-20),[西] 矢作芳人
7,5,9,アミーキティア,牝3,52,丸田恭介,1:09.4,3/4,10.1,5,456(-2),[東] 大竹正博
8,4,8,グランジゲレイロ,牡3,54,福永祐一,1:09.5,クビ,22.1,9,470(+2),[西] 昆貢
9,7,14,タカミツスズラン,牝4,55,勝浦正樹,1:09.6,1/2,9.6,4,460(0),[東] 高橋裕
10,7,13,ディアポジション,牡4,57,菱田裕二,1:09.6,ハナ,176.6,14,468(-14),[東] 新開幸一
11,4,7,ノボリクリーン,牡3,54,岩橋勇二,1:09.6,ハナ,103.4,13,458(+4),[地] 田中正二
12,3,6,ユヅルノオンガエシ,牝3,52,服部茂史,1:09.7,クビ,20.1,8,448(-2),[地] 田中淳司
13,2,4,ベルモントラハイナ,牝4,55,横山典弘,1:10.1,2.1/2,2.7,1,456(+2),[東] 和田正道
14,5,10,スペチアーレ,牝3,52,藤岡康太,1:10.4,1.3/4,22.9,10,474(+8),[東] 矢野英一
15,6,12,クリノツネチャン,牝4,55,城戸義政,1:10.6,1.1/2,180.6,15,454(+6),[東] 星野忍
16,6,11,スイートガーデン,牝4,55,丹内祐次,1:11.3,4,35.8,11,494(-14),[東] 岩戸孝樹
