着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,4,ドゥラメンテ,牡3,56,石橋脩,1:46.9,,1.7,1,488(+14),[東] 堀宣行
2,8,13,ウェルブレッド,牡3,56,武豊,1:47.8,5,18.5,7,434(+2),[東] 加藤征弘
3,1,1,グラブザフラッグ,牡3,56,三浦皇成,1:47.8,アタマ,141.9,12,480(0),[西] 中竹和也
4,8,14,ノースストーム,牡3,56,蛯名正義,1:47.9,クビ,16.2,6,464(-10),[西] 藤岡健一
5,6,9,ジェネラルゴジップ,牡3,56,Ｃ．デム,1:47.9,アタマ,7.2,2,462(-4),[西] 平田修
6,6,10,ラブユアマン,牡3,56,ベリー,1:47.9,アタマ,7.9,3,452(+8),[東] 尾関知人
7,4,6,ダイワエキスパート,牡3,56,後藤浩輝,1:48.2,2,87.5,10,440(+4),[東] 鹿戸雄一
8,2,2,ボルゲーゼ,牡3,56,北村宏司,1:48.4,1.1/4,8.0,4,470(0),[東] 木村哲也
9,7,11,トゥルッリ,牡3,56,横山典弘,1:48.4,ハナ,35.2,8,474(0),[東] 田村康仁
10,7,12,エニグマバリエート,牡3,56,福永祐一,1:48.6,1.1/4,13.2,5,476(-6),[東] 戸田博文
11,5,7,シャインアロー,セ3,56,田中勝春,1:49.0,2.1/2,200.8,13,438(+6),[東] 浅野洋一
12,4,5,マラケシュ,牝3,54,江田照男,1:50.9,大,139.7,11,478(+6),[東] 佐藤吉勝
13,3,3,ラブブレイブ,牡3,56,田辺裕信,1:51.5,3.1/2,266.4,14,440(-5),[東] 南田美知
14,5,8,マルターズシャトル,牡3,56,吉田隼人,1:51.7,3/4,51.9,9,498(-10),[東] 堀井雅広
