着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,11,カフェブリリアント,牝5,53,福永祐一,1:33.9,,15.0,6,432(-2),[東] 堀宣行
2,4,8,アデイインザライフ,牡4,56,ベリー,1:34.0,3/4,2.1,1,554(+14),[東] 鈴木康弘
3,4,7,マイネルアウラート,牡4,54,松岡正海,1:34.1,1/2,18.7,7,446(-12),[東] 高橋裕
4,3,6,プロクリス,牝4,52,田中勝春,1:34.3,1.1/4,7.8,3,474(-2),[西] 松田国英
5,1,2,サトノフェラーリ,牡4,55,北村宏司,1:34.5,1.1/4,5.8,2,464(+2),[東] 藤沢和雄
6,7,14,ベストドリーム,牡4,54,武豊,1:34.6,クビ,12.4,4,466(0),[東] 高橋文雅
7,1,1,オメガキングティー,牡5,54,ブノワ,1:34.6,アタマ,20.6,8,478(-2),[東] 斎藤誠
8,2,3,キョウエイバサラ,牡7,54,川須栄彦,1:34.6,クビ,66.6,12,524(+2),[西] 矢作芳人
9,6,12,ベリーフィールズ,牝7,51,吉田隼人,1:34.8,1.1/4,162.3,14,470(-4),[西] 庄野靖志
10,5,9,アラフネ,牝6,52,吉田豊,1:35.0,1,164.0,15,466(+2),[東] 高橋裕
11,8,16,ダノンフェニックス,牡7,56,Ｃ．デム,1:35.0,アタマ,12.5,5,458(-6),[西] 角居勝彦
12,5,10,セセリ,牡4,54,三浦皇成,1:35.0,ハナ,23.8,10,498(-2),[西] 森秀行
13,7,13,コレクターアイテム,牝5,53,内田博幸,1:35.5,3,23.3,9,472(-14),[西] 須貝尚介
14,2,4,サニーヘイロー,牝7,50,井上敏樹,1:35.6,クビ,255.2,16,470(0),[東] 谷原義明
15,3,5,ダンツキャンサー,牝4,52,田中博康,1:35.6,ハナ,31.5,11,458(-12),[西] 谷潔
16,8,15,ラロメリア,セ7,55,吉原寛人,1:36.6,6,69.1,13,440(-2),[東] 久保田貴
