着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,8,レーヴミストラル,牡3,56,川田将雅,2:26.9,,4.1,1,478(+2),[西] 松田博資
2,2,3,タンタアレグリア,牡3,56,蛯名正義,2:27.0,1/2,6.0,4,468(-2),[東] 国枝栄
3,3,6,ヴェラヴァルスター,牡3,56,田辺裕信,2:27.1,1/2,10.4,5,492(-2),[東] 木村哲也
4,1,1,ブラックバゴ,牡3,56,戸崎圭太,2:27.2,1/2,5.6,3,496(-2),[東] 斎藤誠
5,4,7,ミュゼダルタニアン,牡3,56,内田博幸,2:27.3,3/4,59.3,12,510(+2),[東] 高市圭二
6,2,4,レッドライジェル,牡3,56,柴田善臣,2:27.3,アタマ,4.2,2,430(-6),[東] 藤沢和雄
7,1,2,ティルナノーグ,牡3,56,武豊,2:27.4,クビ,14.2,7,464(-2),[西] 松永幹夫
8,6,11,ウェスタールンド,牡3,56,三浦皇成,2:27.6,1.1/2,69.8,14,472(+4),[西] 佐々木晶
9,3,5,レトロロック,牡3,56,北村宏司,2:27.8,1.1/4,65.8,13,464(-2),[西] 角居勝彦
10,8,17,ストレンジクォーク,牡3,56,柴山雄一,2:27.8,クビ,24.2,9,488(0),[東] 小島太
11,6,12,スモークフリー,牡3,56,岩田康誠,2:28.0,1.1/2,22.5,8,520(-2),[東] 戸田博文
12,5,9,マイネルサクセサー,牡3,56,柴田大知,2:28.2,1.1/4,298.0,15,486(-4),[東] 畠山吉宏
13,5,10,トーセンアーネスト,牡3,56,菅原隆一,2:28.3,クビ,407.8,17,508(-2),[東] 中川公成
14,8,16,マサハヤドリーム,牡3,56,和田竜二,2:28.5,1.1/2,37.6,10,442(-12),[西] 今野貞一
15,7,14,ビクトリーミノル,牡3,56,石橋脩,2:28.6,クビ,369.7,16,476(-4),[西] 北出成人
16,7,13,カカドゥ,牡3,56,横山典弘,2:28.6,アタマ,13.2,6,480(0),[東] 奥村武
17,7,15,センチュリオン,牡3,56,吉田豊,2:29.5,5,49.3,11,506(+2),[東] 田村康仁
18,8,18,トーセンスパンキー,牡3,56,小野寺祐,2:30.5,6,522.8,18,498(-8),[東] 木村哲也
