着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,10,サナシオン,牡6,60,五十嵐雄,3:31.8,,6.0,3.0,466(-4),[西] 松永幹夫
2,3,4,グリッターウイング,牡8,60,森一馬,3:32.8,6,19.1,6.0,514(-10),[西] 西村真幸
3,2,2,テーオーゼウス,牡7,60,佐久間寛,3:32.9,3/4,81.9,12.0,504(-2),[西] 日吉正和
4,4,5,カウウェラ,牡5,60,浜野谷憲,3:33.0,3/4,17.3,5.0,468(+6),[東] 戸田博文
5,8,13,ウォンテッド,牡5,62,高田潤,3:33.4,2.1/2,3.8,2.0,494(-4),[西] 松田国英
6,7,11,タナトス,牡7,61,白浜雄造,3:33.8,2.1/2,2.2,1.0,464(+2),[西] 森秀行
7,6,9,テイエムシシーポス,牡5,60,小坂忠士,3:34.0,1.1/2,166.5,13.0,486(-2),[西] 日吉正和
8,4,6,ラガートモヒーロ,牡6,60,北沢伸也,3:34.3,1.3/4,24.8,7.0,470(0),[西] 柴田政見
9,5,7,オジュウチョウサン,牡4,61,山本康志,3:34.6,2,8.0,4.0,504(+4),[東] 和田正一
10,1,1,カシノデューク,牡6,60,蓑島靖典,3:34.7,クビ,53.0,10.0,500(-4),[東] 二本柳俊
11,5,8,セイウンコレット,牝4,58,原田和真,3:35.5,5,51.3,9.0,472(+4),[東] 鈴木伸尋
12,7,12,ニライジンク,牡6,61,田村太雅,3:37.1,10,26.8,8.0,516(+2),[西] 池添兼雄
除,3,3,ハクサン,牡9,61,石神深一,,,---,,444(0),[東] 浅野洋一
中,8,14,タマモアルバ,牝5,58,植野貴也,,,69.3,11.0,472(-12),[西] 佐藤正雄
