着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,9,ロッジポールパイン,牡2,55,丹内祐次,1:40.3,,4.6,2,514(0),[東] 金成貴史
2,6,11,ジュンザワールド,牡2,55,北村宏司,1:40.3,ハナ,3.6,1,514(+24),[東] 勢司和浩
3,7,14,シベリウス,牡2,55,内田博幸,1:40.6,1.3/4,84.5,11,448(+2),[東] 藤原辰雄
4,2,4,コスモヒドラ,牡2,55,松岡正海,1:40.8,1.1/2,218.6,15,462(-2),[東] 奥平雅士
5,3,6,アッテンツィオーネ,牡2,55,戸崎圭太,1:40.9,1/2,5.7,3,464(+8),[東] 矢野英一
6,3,5,ミュゼリバイアサン,牡2,55,柴山雄一,1:40.9,クビ,7.3,4,506(+2),[東] 黒岩陽一
7,6,12,サトノスピリット,牡2,55,柴田善臣,1:41.0,1/2,11.6,7,472(0),[東] 池上昌和
8,1,2,ウインバーニング,牡2,55,柴田大知,1:41.0,ハナ,40.7,10,454(-2),[東] 武市康男
9,8,15,パイロット,牡2,53,石川裕紀,1:41.0,クビ,20.9,8,480(+2),[東] 高橋祥泰
10,2,3,アイトラッキング,牡2,55,横山典弘,1:41.7,4,9.9,6,526(+4),[東] 菊沢隆徳
11,1,1,ケイツートール,牡2,55,黛弘人,1:42.0,1.3/4,152.9,14,480(-20),[東] 蛯名利弘
12,5,10,ロードディロング,牡2,52,野中悠太,1:42.1,1/2,301.2,16,510(+4),[東] 菊沢隆徳
13,7,13,ミライヘノサイン,牝2,54,吉田隼人,1:42.1,アタマ,8.1,5,452(0),[東] 武藤善則
14,4,7,クリンクリン,牡2,55,勝浦正樹,1:42.2,クビ,35.6,9,480(+6),[東] 黒岩陽一
15,8,16,ウインプリマ,牝2,51,井上敏樹,1:42.3,3/4,123.4,13,436(+4),[東] 高橋祥泰
16,4,8,チェリートレジャー,牡2,55,丸山元気,1:42.9,3.1/2,115.9,12,492(-4),[東] 小西一男
