着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,ゴールドアクター,牡4,57.5,吉田隼人,2:25.8,,2.0,1,488(+2),[東] 中川公成
2,6,7,サムソンズプライド,牡5,55.0,吉田豊,2:26.1,1.3/4,22.5,8,486(+12),[東] 杉浦宏昭
3,1,1,トゥインクル,牡4,54.0,戸崎圭太,2:26.4,2,4.9,2,466(0),[西] 牧田和弥
4,4,4,ショウナンバッハ,牡4,55.0,幸英明,2:26.8,2.1/2,6.6,3,442(+4),[東] 上原博之
5,6,8,エーシングングン,牡6,55.0,横山典弘,2:26.8,アタマ,14.4,6,468(-8),[西] 田所秀孝
6,7,10,アドマイヤバラード,牡6,55.0,内田博幸,2:27.0,1.1/4,16.0,7,524(+4),[西] 友道康夫
7,2,2,マイネルジェイド,牡5,55.0,柴田大知,2:27.0,クビ,50.9,9,458(0),[東] 和田正道
8,8,12,ミエノワンダー,牡5,57.0,北村宏司,2:27.2,1.1/4,13.5,5,514(-4),[東] 国枝栄
9,8,11,ワールドレーヴ,牡5,55.0,松岡正海,2:27.5,2,7.9,4,470(+4),[東] 二ノ宮敬
10,5,5,カンタベリーナイト,牡6,52.0,二本柳壮,2:28.2,4,129.5,11,498(+2),[東] 二本柳俊
11,7,9,コスモユッカ,牡6,53.0,丹内祐次,2:32.2,大,261.1,12,472(-6),[東] 和田正一
中,5,6,スーサングレート,牡7,52.0,丸田恭介,,,97.7,10,508(+10),[西] 鈴木孝志
