着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,14,グレイスフルリープ,牡5,56,内田博幸,1:23.0,,19.2,9,534(-16),[西] 橋口弘次
2,2,3,ニシケンモノノフ,牡4,56,中谷雄太,1:23.2,1.1/4,7.0,3,498(0),[西] 庄野靖志
3,4,7,タールタン,牡7,57,北村宏司,1:23.4,1,9.9,4,496(+6),[西] 吉村圭司
4,3,5,キクノストーム,牡6,57,横山典弘,1:23.4,クビ,16.5,7,500(0),[西] 吉田直弘
5,1,2,ナンチンノン,牡4,56,吉田豊,1:23.5,3/4,14.4,6,522(-8),[西] 中竹和也
6,2,4,ゴーイングパワー,牡6,56,大野拓弥,1:23.7,1.1/2,123.4,16,494(-2),[西] 岩元市三
7,5,9,アドマイヤサガス,牡7,58,丸山元気,1:23.8,3/4,109.4,15,524(-2),[西] 橋田満
8,1,1,レッドアルヴィス,牡4,56,三浦皇成,1:24.1,1.1/2,2.7,1,508(+6),[西] 安田隆行
9,3,6,シンゼンレンジャー,牡6,56,田中勝春,1:24.1,クビ,66.5,14,490(-6),[西] 飯田祐史
10,8,15,ガンジス,牡6,57,幸英明,1:24.3,1,11.3,5,508(-2),[西] 大久保龍
11,7,13,ナガラオリオン,牡6,57,柴山雄一,1:24.3,ハナ,52.5,13,464(-8),[西] 大根田裕
12,8,16,ピンポン,牡5,56,柴田善臣,1:24.5,1.1/4,25.6,10,466(+4),[西] 田中章博
13,6,11,タイセイファントム,牡7,57,戸崎圭太,1:24.5,ハナ,5.6,2,446(-6),[西] 矢作芳人
14,5,10,フミノファルコン,牡5,56,勝浦正樹,1:25.1,3.1/2,17.4,8,528(-12),[西] 目野哲也
15,6,12,シンキングマシーン,セ6,56,吉田隼人,1:25.5,2.1/2,51.4,12,500(+2),[東] 武市康男
16,4,8,セイコーライコウ,牡8,58,江田照男,1:26.8,8,30.3,11,492(+6),[東] 竹内正洋
