着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,4,マルカフリート,牡9,57,石橋脩,1:23.2,,30.9,11,488(+6),[西] 浜田多実
2,6,12,グレイスフルリープ,牡5,57,内田博幸,1:23.4,1.1/4,3.0,1,544(+10),[西] 橋口弘次
3,2,3,ピンポン,牡5,53,伊藤工真,1:23.4,クビ,42.6,13,462(+2),[西] 田中章博
4,6,11,ヒラボクプリンス,牡5,55,三浦皇成,1:24.0,3.1/2,23.2,9,486(-8),[西] 加藤敬二
5,5,9,キクノストーム,牡6,56,今野忠成,1:24.0,クビ,4.9,2,500(0),[西] 吉田直弘
6,3,6,チャーリーブレイヴ,セ5,54,田辺裕信,1:24.3,1.3/4,6.0,3,492(0),[東] 尾関知人
7,3,5,サクラレグナム,牡6,55,丸山元気,1:24.3,アタマ,12.5,5,514(0),[東] 金成貴史
8,1,2,ネオザウイナー,牡7,53,柴田大知,1:24.4,1/2,101.8,15,500(-2),[西] 小崎憲
9,7,13,カーティスバローズ,牡5,54,吉田隼人,1:24.5,3/4,57.4,14,498(-10),[西] 中竹和也
10,5,10,カチューシャ,牝6,54,石川裕紀,1:24.8,1.1/2,18.7,8,486(-2),[西] 角田晃一
11,8,16,カジキ,牡6,55,小牧太,1:25.0,1.1/2,8.2,4,500(0),[西] 笹田和秀
12,4,8,シンキングマシーン,セ6,52,北村宏司,1:26.1,7,35.9,12,506(+6),[東] 武市康男
13,4,7,ラヴィアンクレール,牡7,54,シュタル,1:26.3,1.1/4,30.7,10,462(0),[東] 鈴木伸尋
14,8,15,シセイオウジ,牡8,54,松岡正海,1:27.5,7,137.4,16,458(-2),[東] 宗像義忠
15,7,14,デルマヌラリヒョン,牡5,54,柴田善臣,1:27.6,1/2,18.4,7,502(+6),[東] 古賀史生
16,1,1,エーシントップ,牡5,57,ベリー,1:27.6,ハナ,17.3,6,540(+2),[西] 西園正都
