着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,10,イメージガール,牝5,55,田辺裕信,1:59.1,,8.6,3,466(-6),[東] 相沢郁
2,3,6,ナイアガラモンロー,牝3,52,オールプ,1:59.1,ハナ,12.8,5,496(-4),[東] 堀井雅広
3,4,7,ヴァンデミエール,牝4,55,松岡正海,1:59.1,アタマ,76.5,12,442(+8),[東] 伊藤大士
4,8,16,キネオダンサー,牝4,55,蛯名正義,1:59.3,1,2.3,1,470(-8),[東] 牧光二
5,6,11,エバーキュート,牝3,52,Ｍ．デム,1:59.4,3/4,15.8,8,438(+2),[東] 加藤征弘
6,8,15,ゴールデンハープ,牝3,52,川田将雅,1:59.5,1/2,4.3,2,458(+2),[東] 戸田博文
7,2,4,ソムニアシチー,牝5,55,田中勝春,1:59.7,1.1/4,58.5,11,448(-8),[東] 谷原義明
8,1,2,ファインドヌーヴ,牝3,52,吉田豊,1:59.8,1/2,15.6,7,450(+10),[東] 矢野英一
9,4,8,ハーモニーフェア,牝5,55,柴田善臣,2:00.0,1.1/2,157.0,15,482(+2),[東] 奥村武
10,3,5,フレンチヴォーグ,牝3,52,北村宏司,2:00.3,1.3/4,15.3,6,426(+8),[東] 大和田成
11,2,3,ヴァールハイト,牝4,55,石橋脩,2:00.5,1,140.3,14,478(+10),[東] 菊沢隆徳
12,7,14,ハッピーセーラー,牝4,55,大野拓弥,2:00.5,クビ,82.7,13,496(+10),[東] 石栗龍彦
13,7,13,エスターブレ,牝5,55,江田照男,2:00.5,クビ,251.9,16,464(-12),[東] 池上昌和
14,5,9,アンジュデュバン,牝4,55,津村明秀,2:00.6,3/4,11.7,4,452(+2),[東] 武市康男
15,1,1,コスモチョコレイ,牝4,55,柴田大知,2:00.7,1/2,26.5,9,448(+8),[東] 田中清隆
16,6,12,エジーサンドレ,牝3,52,内田博幸,2:03.3,大,53.8,10,394(-4),[東] 手塚貴久
