着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,8,サクラアルディート,牡7,57,北村宏司,1:46.9,,22.0,10,478(-18),[西] 岡田稲男
2,4,4,ヒストリカル,牡6,57,戸崎圭太,1:46.9,クビ,3.2,1,456(+4),[西] 音無秀孝
3,1,1,マコトブリジャール,牝5,54,柴田大知,1:46.9,アタマ,9.2,5,404(0),[西] 鮫島一歩
4,3,3,インパルスヒーロー,牡5,56,田中勝春,1:47.0,3/4,5.6,3,506(-2),[東] 国枝栄
5,2,2,アロマカフェ,牡8,56,内田博幸,1:47.1,1/2,9.2,4,482(+8),[東] 小島太
6,5,6,ミナレット,牝5,54,江田照男,1:47.3,1,3.6,2,482(0),[東] 大和田成
7,5,5,ダイヤモンドダンス,牡6,56,笹川翼,1:47.4,1/2,164.9,12,500(-6),[地] 堀千亜樹
8,8,12,マデイラ,牡6,56,大野拓弥,1:47.4,クビ,13.4,6,490(-6),[西] 荒川義之
9,7,9,マックスドリーム,セ8,56,蛯名正義,1:47.6,1.1/2,20.5,8,516(-22),[西] 宮徹
10,7,10,バッドボーイ,牡5,56,田辺裕信,1:48.0,2.1/2,19.4,7,492(-18),[西] 河内洋
11,8,11,ドリームバスケット,牡8,57,佐藤友則,1:48.3,1.3/4,135.1,11,460(-1),[地] 伊藤強一
12,6,7,フィロパトール,牝6,54,石橋脩,1:48.5,1,21.0,9,474(+2),[東] 武藤善則
