着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,フミノムーン,牡3,56,幸英明,1:23.3,,5.0,3,442(-6),[西] 西浦勝一
2,4,6,マリオーロ,牡3,56,蛯名正義,1:23.7,2.1/2,4.8,2,476(-8),[東] 斎藤誠
3,3,4,ネオスターダム,牡3,56,ルメール,1:24.1,2.1/2,3.7,1,474(-2),[西] 石坂正
4,4,5,ナリタスターワン,牡3,56,福永祐一,1:24.1,クビ,6.4,4,472(+8),[西] 高橋亮
5,5,7,スマートグレイス,牝3,54,武豊,1:24.2,3/4,10.2,6,458(+2),[西] 河内洋
6,5,8,ジルダ,牝3,54,Ｍ．デム,1:24.5,1.3/4,7.6,5,410(+4),[西] 友道康夫
7,7,11,プレシャスルージュ,牡3,56,松若風馬,1:24.5,アタマ,29.3,8,466(-6),[西] 音無秀孝
8,2,2,ワキノヒビキ,牡3,57,北村宏司,1:24.6,クビ,50.8,11,486(0),[西] 清水久詞
9,3,3,フェアラフィネ,牝3,54,松山弘平,1:24.8,1.1/4,49.8,10,430(-4),[西] 森田直行
10,8,13,レンイングランド,牡3,57,四位洋文,1:25.3,3,17.1,7,508(+4),[西] 矢作芳人
11,6,10,タイセイラビッシュ,牡3,56,藤岡佑介,1:25.7,2.1/2,30.2,9,478(-4),[西] 矢作芳人
12,6,9,ノースメイジャイ,牝3,54,菱田裕二,1:25.7,ハナ,64.4,12,484(-6),[西] 森田直行
13,7,12,エフェクト,牝3,54,国分優作,1:26.1,2.1/2,91.1,13,462(0),[西] 服部利之
14,8,14,クリノヤクマン,牡3,56,川須栄彦,1:27.5,9,204.4,14,480(-8),[東] 蛯名利弘
