着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,5,スマートアヴァロン,牡3,56,武豊,1:10.3,,4.5,2,492(0),[西] 西園正都
2,6,12,バリキ,牡3,56,浜中俊,1:10.6,1.3/4,14.6,4,444(-2),[西] 鈴木孝志
3,8,15,ウォリアーズソウル,牡3,56,福永祐一,1:10.7,1/2,5.9,3,510(-2),[東] 矢野英一
4,4,7,オールオブユー,牝3,54,蛯名正義,1:11.1,2.1/2,15.2,5,490(0),[西] 浅見秀一
5,6,11,ウチデノコヅチ,牝3,54,岩田康誠,1:11.2,クビ,42.3,10,446(+4),[西] 羽月友彦
6,8,16,ゴマスリオトコ,牡3,56,Ｍ．デム,1:11.2,ハナ,19.3,7,506(-6),[西] 音無秀孝
7,2,4,フミノミニスター,牡3,56,藤岡佑介,1:11.2,クビ,18.6,6,492(+2),[西] 本田優
8,5,9,ハクサンエルモ,牝3,54,酒井学,1:11.6,2.1/2,152.8,14,438(-6),[西] 西園正都
9,4,8,コモドー,牡3,56,ルメール,1:11.6,アタマ,24.1,8,476(0),[西] 中内田充
10,1,1,トウケイファルコン,牡3,53,義英真,1:11.7,1/2,170.3,15,486(0),[西] 池添兼雄
11,5,10,プリズム,牡3,56,国分優作,1:11.7,クビ,25.7,9,476(0),[西] 西浦勝一
12,7,14,オリエンタルダンス,牝3,51,城戸義政,1:11.8,クビ,60.3,11,432(+2),[西] 佐々木晶
13,1,2,ヨウライフク,牡3,56,幸英明,1:11.8,アタマ,70.6,12,486(-4),[西] 奥村豊
14,3,6,ウリボー,牡3,56,藤田伸二,1:12.0,1,106.6,13,504(-2),[西] 森秀行
15,7,13,ウェディングラン,牝3,52,岩崎翼,1:12.4,2.1/2,238.3,16,422(+4),[西] 柴田光陽
16,2,3,メラグラーナ,牝3,52,松山弘平,1:12.8,2.1/2,2.1,1,506(+4),[西] 池添学
