着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,8,スリータイタン,セ6,53,福永祐一,2:04.2,,40.3,11,458(+2),[西] 村山明
2,3,6,スワーヴカイザー,牡4,57,小牧太,2:04.2,クビ,8.5,4,548(+14),[西] 庄野靖志
3,7,13,ミキノハルモニー,牡4,54,城戸義政,2:04.5,2,21.8,8,452(-2),[西] 大橋勇樹
4,3,5,トウケイウイン,牡5,55,太宰啓介,2:05.0,3,6.6,2,448(-8),[西] 飯田祐史
5,4,7,クレスコモア,牡5,54,松山弘平,2:05.0,アタマ,25.4,9,516(-6),[西] 石坂正
6,2,4,プリンスダム,牡4,57,浜中俊,2:05.1,クビ,2.2,1,492(-2),[西] 池江泰寿
7,6,12,パフュームボム,牝4,52,国分恭介,2:05.1,クビ,52.8,13,472(+6),[西] 佐々木晶
8,5,10,マユキ,牝4,54,川田将雅,2:05.1,アタマ,18.6,7,482(+2),[西] 森秀行
9,6,11,メテオライト,セ6,53,岩田康誠,2:05.1,アタマ,46.7,12,510(+2),[西] 池添学
10,7,14,アスターフレンチ,牡5,53,和田竜二,2:05.1,ハナ,29.0,10,508(-6),[西] 南井克巳
11,8,16,カトラス,セ5,54,熊沢重文,2:05.2,クビ,14.5,6,476(+6),[西] 大橋勇樹
12,8,15,メイショウドゥーマ,牡5,55,武豊,2:05.3,3/4,13.0,5,488(+2),[西] 本田優
13,5,9,カリスマサンタイム,牡5,53,幸英明,2:05.4,クビ,114.7,16,506(-10),[西] 崎山博樹
14,1,2,ヤマカツティラノ,牡6,53,松若風馬,2:06.0,3.1/2,73.1,14,486(+12),[西] 高橋康之
15,1,1,タンスチョキン,牝5,52,古川吉洋,2:06.5,3,110.7,15,494(+4),[西] 谷潔
16,2,3,テイエムグンカン,牡3,53,田中健,2:08.1,10,8.1,3,502(+4),[西] 木原一良
