着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,6,グランアルマダ,牡4,56,酒井学,2:01.1,,3.3,2,536(0),[西] 西園正都
2,6,8,サンデーウィザード,牡4,56,和田竜二,2:01.1,アタマ,4.7,3,456(+4),[西] 大久保龍
3,3,3,カラフルブラッサム,牝6,55,松山弘平,2:01.2,3/4,3.0,1,468(-2),[西] 鈴木孝志
4,7,10,ピースオブジャパン,牡4,56,鮫島克駿,2:01.3,3/4,9.8,4,486(0),[西] 宮徹
5,4,5,ヒロノプリンス,牡6,57,ヴェロン,2:01.5,1.1/4,28.2,7,474(+18),[西] 村山明
6,2,2,クールオープニング,牡5,57,北村友一,2:01.5,ハナ,29.1,8,468(-2),[西] 橋口弘次
7,1,1,ドラゴンレジェンド,牡6,57,松田大作,2:01.6,3/4,11.9,5,502(-8),[東] 久保田貴
8,6,9,ボールドジャパン,牡5,57,中谷雄太,2:01.6,アタマ,83.2,12,520(0),[西] 中村均
9,8,12,アドマイヤガスト,牡4,56,丸山元気,2:01.7,アタマ,13.0,6,532(+2),[西] 松田博資
10,7,11,ギブアンドテイク,牡5,57,勝浦正樹,2:01.8,3/4,37.1,9,498(-8),[東] 二ノ宮敬
11,8,13,ノーブルリーズン,牝4,54,幸英明,2:01.8,アタマ,57.9,11,436(+2),[西] 佐々木晶
12,4,4,メイショウオオゼキ,セ6,57,松若風馬,2:02.3,3,122.1,13,486(+2),[西] 池添兼雄
13,5,7,ヤマトダイアンサス,牝6,55,川須栄彦,2:02.7,2.1/2,51.1,10,490(+2),[東] 大竹正博
