着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,5,サトノノブレス,牡6,58.0,川田将雅,2:01.3,,5.6,1,516(0),[西] 池江泰寿
2,7,15,ファントムライト,牡7,55.0,戸崎圭太,2:01.4,1/2,14.8,9,494(-2),[西] 藤原英昭
3,7,13,レコンダイト,牡6,55.0,武豊,2:01.4,クビ,46.0,13,468(+12),[西] 音無秀孝
4,8,16,ヤマニンボワラクテ,セ5,55.0,藤懸貴志,2:01.5,クビ,8.7,5,484(-4),[西] 松永幹夫
5,2,4,バウンスシャッセ,牝5,55.5,田辺裕信,2:01.5,ハナ,9.8,6,534(-6),[東] 藤沢和雄
6,8,18,クルーガー,牡4,55.0,福永祐一,2:01.6,1/2,5.7,2,520(+2),[西] 高野友和
7,2,3,メドウラーク,牡5,55.0,バルジュ,2:01.6,ハナ,42.4,12,498(+4),[西] 橋田満
8,6,11,ケツァルテナンゴ,牡4,56.0,シュタル,2:01.6,ハナ,14.2,8,500(-2),[西] 笹田和秀
9,7,14,ヒストリカル,牡7,57.0,田中勝春,2:01.6,アタマ,7.8,4,460(+4),[西] 音無秀孝
10,4,8,ブライトエンブレム,牡4,57.0,ルメール,2:01.6,ハナ,7.6,3,496(+4),[東] 小島茂之
11,5,9,ショウナンバッハ,牡5,55.0,池添謙一,2:01.6,ハナ,15.3,10,442(+2),[東] 上原博之
12,3,6,アングライフェン,牡4,55.0,吉田隼人,2:01.6,ハナ,17.8,11,472(+4),[西] 安田隆行
13,4,7,デウスウルト,セ8,55.0,幸英明,2:01.6,アタマ,166.2,16,474(+4),[西] 平田修
14,1,1,ライズトゥフェイム,牡6,56.0,石川裕紀,2:01.7,1/2,46.7,14,486(-4),[東] 加藤征弘
15,8,17,ロンギングダンサー,牡7,53.0,横山和生,2:01.7,クビ,183.0,17,490(-8),[東] 勢司和浩
16,1,2,サトノアポロ,セ8,56.0,蛯名正義,2:01.8,クビ,146.1,15,516(-10),[東] 国枝栄
17,6,12,メイショウカンパク,牡9,52.0,鮫島克駿,2:02.1,1.3/4,424.9,18,486(+2),[西] 荒川義之
18,5,10,アルバートドック,牡4,57.0,松若風馬,2:02.8,4,12.5,7,478(-4),[西] 須貝尚介
