着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,4,コンコード,牡4,59,石神深一,3:20.0,,9.8,4,524(-6),[東] 武井亮
2,6,8,トゥールモンド,セ6,60,上野翔,3:21.7,大,14.2,6,478(+16),[東] 尾形充弘
3,5,6,ラブリープラネット,牡5,60,植野貴也,3:22.0,1.3/4,16.2,7,474(+10),[西] 五十嵐忠
4,1,1,ダークサイド,牡5,60,五十嵐雄,3:25.3,大,8.0,3,476(+24),[東] 高橋祥泰
5,8,12,マイネプレセア,牝5,58,高野和馬,3:26.2,5,44.1,9,444(-2),[東] 和田正一
6,5,7,ヤマニンアリエッタ,牝5,58,小坂忠士,3:27.2,6,37.6,8,530(-2),[西] 山内研二
7,6,9,テイエムソラトブ,牡4,59,蓑島靖典,3:32.3,大,118.9,11,466(-2),[東] 石栗龍彦
8,4,5,プレイリースター,牝6,58,山本康志,3:33.9,10,137.4,12,422(-40),[東] 小笠倫弘
9,7,10,ルミナスギャラン,牡4,59,金子光希,3:34.0,1/2,223.7,13,440(-8),[東] 中川公成
10,8,13,ゴーントレット,牡4,59,西谷誠,3:34.7,4,13.9,5,500(0),[西] 角田晃一
中,2,2,シゲルナマハゲ,牡4,59,草野太郎,,,46.6,10,450(-2),[東] 蛯名利弘
中,3,3,レジェンドパワー,セ4,59,大江原圭,,,2.0,1,430(-4),[東] 中野栄治
中,7,11,ハクユウドルフィン,牡5,60,難波剛健,,,4.0,2,458(-2),[西] 加藤敬二
