着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,11,サトノアッシュ,牡4,57,福永祐一,1:34.0,,3.4,2,480(0),[西] 中竹和也
2,1,2,ロワアブソリュー,牡3,54,Ｍ．デム,1:34.2,1.1/4,2.5,1,496(-6),[西] 須貝尚介
3,5,10,ラクアミ,牝4,55,松山弘平,1:34.2,クビ,22.5,6,446(-6),[西] 音無秀孝
4,5,9,マコトサダイジン,セ5,57,デュプレ,1:34.3,1/2,86.5,10,436(-10),[西] 松田国英
5,3,5,トルストイ,牡6,57,松若風馬,1:34.4,1/2,64.3,9,496(+4),[西] 音無秀孝
6,8,16,クワトロガッツ,牡5,57,武豊,1:34.4,クビ,14.4,5,446(-4),[西] 千田輝彦
7,1,1,コメットシーカー,牡6,57,鮫島克駿,1:34.5,クビ,31.5,7,498(+8),[西] 西村真幸
8,3,6,ネオアトラクション,牡4,57,松田大作,1:34.8,2,44.7,8,488(-8),[西] 角居勝彦
9,7,13,セイントバローズ,牡4,57,ルメール,1:34.8,クビ,3.8,3,474(-4),[西] 藤岡健一
10,6,12,サダムリスペクト,牡4,57,池添謙一,1:34.9,クビ,189.1,12,450(-4),[西] 中尾秀正
11,2,4,サトノマルス,牡3,54,川田将雅,1:35.0,1/2,10.5,4,440(-6),[西] 池江泰寿
12,4,7,タイガーボス,牡4,57,熊沢重文,1:35.4,2.1/2,190.3,13,464(-5),[西] 大橋勇樹
13,4,8,アイファーハート,牝4,55,藤懸貴志,1:35.5,3/4,522.9,16,438(-6),[西] 坪憲章
14,7,14,スリーカラーナンゴ,牡5,57,義英真,1:35.6,3/4,220.7,14,460(0),[西] 坪憲章
15,8,15,クラウンドジャック,牝3,52,和田竜二,1:35.6,クビ,166.1,11,472(+12),[西] 加用正
16,2,3,グッドフォーユー,牝3,52,吉井友彦,1:37.2,10,503.7,15,428(-11),[地] 栗本陽一
