着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,3,ブリーズスズカ,牡3,56,幸英明,1:54.6,,4.3,3,450(-2),[西] 大橋勇樹
2,6,11,テイエムボンドン,牡3,54,義英真,1:55.4,5,160.1,12,456(-18),[西] 福島信晴
3,1,1,メイショウミツタダ,牡3,56,和田竜二,1:55.7,2,2.0,1,512(+4),[西] 南井克巳
4,4,8,ウォーターマクベス,牡3,56,藤岡康太,1:55.9,1.1/2,60.7,8,508(0),[西] 吉村圭司
5,8,15,ゼンノリボーン,牡3,53,森裕太朗,1:56.0,1/2,538.7,15,492(-4),[西] 飯田祐史
6,5,9,クリノプラハ,牡3,56,Ｍ．デム,1:56.0,ハナ,9.4,4,548(+10),[西] 谷潔
7,4,7,サンマルドライヴ,牡3,56,藤懸貴志,1:56.0,アタマ,19.1,5,442(+2),[西] 千田輝彦
8,1,2,エスプリベルテ,牡3,56,高倉稜,1:56.2,1,251.7,13,506(-8),[西] 宮本博
9,6,12,エイシンミコノス,牡3,56,大野拓弥,1:56.3,1/2,22.1,6,528(+4),[西] 沖芳夫
10,7,13,イーグルバイオ,牡3,56,国分優作,1:56.7,2.1/2,75.9,9,480(-6),[西] 西浦勝一
11,2,4,ナムラルパン,牡3,56,小牧太,1:56.7,アタマ,4.1,2,494(-4),[西] 福島信晴
12,3,5,キングタイド,セ3,56,太宰啓介,1:57.2,3,147.7,10,510(-16),[西] 石橋守
13,5,10,アヴァンスマン,牡3,56,石橋脩,1:57.8,3.1/2,265.5,14,500(-2),[西] 浜田多実
14,3,6,カネトシコンデュー,牡3,56,森一馬,1:58.3,3,579.2,16,408(-6),[西] 田中章博
15,7,14,エスカラード,牡3,55,鮫島克駿,1:59.2,5,31.8,7,462(+14),[西] 鈴木孝志
16,8,16,シゲルクロメバル,牡3,56,酒井学,1:59.3,1/2,155.6,11,442(0),[西] 服部利之
