着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,6,ピオネロ,牡5,57.0,ルメール,1:50.4,,5.4,2,502(+6),[西] 松永幹夫
2,7,13,モズライジン,牡4,57.5,中谷雄太,1:50.4,クビ,7.0,4,472(-2),[西] 矢作芳人
3,8,15,スノーモンキー,牡6,56.0,川田将雅,1:50.9,3,12.0,6,462(+6),[東] 相沢郁
4,5,9,ミツバ,牡4,56.0,松山弘平,1:50.9,アタマ,3.3,1,460(0),[西] 加用正
5,3,4,スリータイタン,セ7,52.0,藤懸貴志,1:51.0,3/4,89.7,14,450(0),[西] 村山明
6,4,7,ニットウビクトリー,牡7,54.0,松若風馬,1:51.1,1/2,61.7,12,484(-6),[東] 高橋文雅
7,2,3,トウショウギフト,牡7,51.0,鮫島克駿,1:51.3,1.1/4,26.4,9,532(-8),[東] 萱野浩二
8,8,14,プラントハンター,牡6,53.0,松田大作,1:51.4,クビ,215.2,15,456(0),[東] 水野貴広
9,1,1,ダテノハクトラ,牡5,53.0,酒井学,1:51.5,1/2,49.1,11,488(-2),[西] 岡田稲男
10,2,2,カナロア,牡7,54.0,デュプレ,1:51.9,2.1/2,73.1,13,452(-4),[西] 中内田充
11,7,12,ポイントブランク,牡6,55.0,藤岡康太,1:52.0,クビ,13.3,7,556(+16),[西] 松下武士
12,5,8,スマートボムシェル,牡4,54.0,武豊,1:52.1,3/4,6.9,3,494(-4),[西] 吉田直弘
13,6,11,キングノヨアケ,牡4,57.0,小牧太,1:52.5,2.1/2,8.4,5,498(+6),[東] 相沢郁
14,3,5,マノワール,牡6,55.0,Ｍ．デム,1:53.7,7,14.5,8,438(-6),[西] 宮本博
15,6,10,マルケサス,牡7,54.0,秋山真一,1:54.8,7,32.4,10,480(+2),[西] 吉田直弘
