着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,8,キタサンサジン,牡4,57,ムーア,1:11.2,,1.9,1,522(-4),[西] 梅田智之
2,7,13,ストロボフラッシュ,牝3,54,大野拓弥,1:11.2,クビ,6.5,3,476(-8),[東] 加藤征弘
3,8,16,ディープミタカ,牡5,57,津村明秀,1:11.6,2.1/2,14.7,6,476(-2),[西] 藤岡健一
4,7,14,サンライズトーク,セ6,57,菱田裕二,1:11.6,アタマ,186.6,14,498(0),[西] 渡辺薫彦
5,4,7,コパノリスボン,牡3,56,ルメール,1:11.8,1.1/2,5.7,2,506(0),[西] 村山明
6,6,12,アイファーサラオー,牡4,57,藤懸貴志,1:11.9,クビ,119.2,12,508(+6),[西] 坪憲章
7,3,5,シゲルゴホウサイ,牝4,55,幸英明,1:11.9,ハナ,8.6,4,436(+2),[西] 森田直行
8,5,9,エンドレスシャイン,牡5,57,内田博幸,1:12.0,1/2,17.9,7,446(+2),[西] 鈴木孝志
9,6,11,ラフィネシチー,牝5,55,田中健,1:12.2,1.1/4,84.0,11,462(-8),[西] 岡田稲男
10,8,15,キョウワエステル,牝3,54,竹之下智,1:12.2,クビ,34.7,8,474(+6),[西] 千田輝彦
11,3,6,フィラーレ,牡5,57,丸山元気,1:12.2,ハナ,138.3,13,464(+4),[東] 土田稔
12,5,10,アキノアッパー,牡6,57,国分優作,1:12.3,クビ,237.3,16,482(-2),[東] 大和田成
13,2,4,マーティンオート,牝6,55,和田竜二,1:12.4,1/2,60.7,10,498(+4),[西] 沖芳夫
14,2,3,ウォーターメアヌイ,牝4,55,丸田恭介,1:12.6,1.1/4,191.9,15,432(+4),[西] 田所秀孝
15,1,2,エンジェヌー,牝5,55,中谷雄太,1:12.7,3/4,56.3,9,472(-4),[西] 岡田稲男
16,1,1,ゼンノヒストリエ,牡5,57,田辺裕信,1:13.5,5,13.3,5,512(+2),[東] 小島茂之
