着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,3,キタサンミカヅキ,牡6,56,武士沢友,1:11.1,,7.0,3,532(0),[東] 古賀史生
2,4,8,ゲマインシャフト,牡6,53,柴田大知,1:11.1,クビ,35.8,14,516(+6),[東] 伊藤大士
3,6,11,パーティードレス,牝5,53,横山典弘,1:11.3,1.1/2,6.1,2,478(0),[西] 松永幹夫
4,1,2,ホスト,牡5,55,戸崎圭太,1:11.3,アタマ,3.0,1,528(+2),[東] 金成貴史
5,7,14,モンテネオ,牡6,54,柴田善臣,1:11.4,クビ,14.5,7,488(+4),[東] 小島茂之
6,5,10,フクノドリーム,牝5,54,松岡正海,1:11.4,クビ,31.9,11,500(+12),[東] 杉浦宏昭
7,8,15,ビリオネア,牝6,54,岡田祥嗣,1:11.4,ハナ,8.6,4,454(+2),[西] 野中賢二
8,1,1,アンリヴィールド,牝7,53,丸田恭介,1:11.7,1.1/2,26.8,8,490(-8),[西] 牧田和弥
9,8,16,ブルーストーン,牝5,54,内田博幸,1:11.7,ハナ,9.1,5,466(-2),[東] 伊藤圭三
10,5,9,エンドレスノット,牝7,53,蛯名正義,1:11.8,1/2,10.9,6,500(+2),[東] 国枝栄
11,3,5,ヨウライフク,牡4,53,田中博康,1:11.8,ハナ,27.9,9,500(0),[西] 奥村豊
12,4,7,ヘアーオブザドッグ,牡7,52,西田雄一,1:12.1,1.3/4,252.7,16,514(-4),[東] 竹内正洋
13,2,4,サルバドールハクイ,牡6,54,柴山雄一,1:12.1,クビ,34.0,13,464(0),[東] 相沢郁
14,3,6,マリカ,牝5,52,井上敏樹,1:12.2,クビ,33.7,12,476(-4),[東] 本間忍
15,6,12,マルヴァーンヒルズ,牡6,57,ベリー,1:12.3,3/4,31.0,10,540(+6),[西] 荒川義之
16,7,13,レッドキャンティー,牝5,51,江田照男,1:12.7,2.1/2,172.4,15,444(-6),[東] 萱野浩二
