着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,5,メイショウカイモン,セ5,57,江田照男,1:11.8,,11.3,4,478(+2),[東] 小島太
2,8,16,リュクサンブール,牡5,57,横山典弘,1:11.8,ハナ,2.7,1,472(0),[東] 鹿戸雄一
3,7,14,アイリーグレイ,牝4,52,木幡巧也,1:12.0,1.1/2,19.0,7,450(-12),[東] 牧光二
4,2,3,ヴェアリアスサマー,牡5,57,三浦皇成,1:12.1,3/4,6.9,3,518(-2),[東] 伊藤大士
5,3,6,スマートダイバー,牡5,57,シュタル,1:12.2,クビ,15.3,6,490(-8),[東] 古賀史生
6,8,15,ヴェイルドスケール,牡4,57,柴山雄一,1:12.3,3/4,27.6,8,540(-2),[東] 畠山吉宏
7,1,1,ニシノイナズマ,牡5,57,大野拓弥,1:12.4,クビ,50.2,10,500(+8),[東] 松山将樹
8,5,10,カゼノトビラ,牝4,52,野中悠太,1:12.5,3/4,45.1,9,462(+6),[東] 根本康広
9,5,9,ステラルーチェ,牡4,57,和田竜二,1:12.9,2.1/2,146.7,13,490(-6),[東] 蛯名利弘
10,6,11,ヘニースウィフト,牡4,57,田辺裕信,1:13.0,1/2,51.3,11,500(+16),[東] 二ノ宮敬
11,4,7,ヴァーサス,牡4,57,田中勝春,1:13.2,1.1/4,94.5,12,476(-4),[東] 天間昭一
12,1,2,シャイントラベラー,牡4,54,井上敏樹,1:13.3,クビ,186.3,14,464(+4),[東] 小野次郎
13,2,4,ミタイナ,牝4,53,石川裕紀,1:13.3,クビ,246.9,15,512(+2),[東] 金成貴史
14,4,8,マルターズレーン,牡4,54,原田和真,1:13.4,3/4,254.7,16,506(-4),[東] 堀井雅広
15,6,12,エグゼビア,セ6,57,ルメール,1:14.1,4,2.9,2,510(+8),[東] 藤沢和雄
16,7,13,モルーア,牝4,55,柴田大知,1:14.3,1.1/4,14.2,5,472(+8),[東] 武井亮
