着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,11,ブチコ,牝4,54,ルメール,1:53.0,,2.3,1,478(-6),[西] 音無秀孝
2,5,8,ブライトアイディア,牡6,55,戸崎圭太,1:53.5,3,13.9,5,522(-6),[西] 宮徹
3,8,13,セトノプロミス,牡6,53,吉田豊,1:53.6,1/2,284.8,12,500(+4),[西] 鈴木孝志
4,4,6,ポムフィリア,牝4,52,大野拓弥,1:53.6,クビ,62.2,10,462(+4),[東] 高橋裕
5,3,4,トラキチシャチョウ,牡5,55,勝浦正樹,1:53.7,クビ,7.6,3,514(+8),[西] 目野哲也
6,8,14,ダノングッド,牡4,56,岩田康誠,1:53.8,3/4,9.9,4,502(-2),[西] 村山明
7,5,7,セイカフォルテ,牡8,53,柴田大知,1:53.8,クビ,41.7,8,460(0),[東] 相沢郁
8,7,12,トウショウギフト,牡7,52,松岡正海,1:53.8,ハナ,313.5,13,538(-6),[東] 萱野浩二
9,2,2,リッカルド,セ5,56,蛯名正義,1:53.9,1/2,2.7,2,500(-4),[東] 黒岩陽一
10,1,1,レッドルーファス,牡6,56,柴山雄一,1:54.0,クビ,33.1,7,518(-6),[東] 藤沢和雄
11,6,10,タイセイドリーム,牡6,55,内田博幸,1:54.0,ハナ,60.0,9,540(+2),[西] 矢作芳人
12,4,5,メモリーシャルマン,牝7,51,石川裕紀,1:54.1,1/2,70.3,11,518(-6),[西] 湯窪幸雄
13,6,9,グレイレジェンド,牡8,53,江田照男,1:54.8,4,345.9,14,468(+12),[西] 松永幹夫
14,3,3,ニットウビクトリー,牡7,54,柴田善臣,1:55.2,2.1/2,21.4,6,500(+6),[東] 高橋文雅
