着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,10,クラウンシャイン,牡4,57,石川裕紀,1:52.5,,21.3,8,478(+4),[東] 蛯名利弘
2,8,15,リッカルド,セ5,57,内田博幸,1:52.5,アタマ,2.5,1,498(0),[東] 黒岩陽一
3,5,8,タムロミラクル,牡4,57,田中勝春,1:53.1,3.1/2,9.0,4,472(+2),[西] 西園正都
4,4,7,ファドーグ,セ5,57,大野拓弥,1:53.2,3/4,4.5,2,480(+2),[東] 奥平雅士
5,7,13,ポイントブランク,牡6,57,蛯名正義,1:53.4,3/4,9.2,5,540(-10),[西] 松下武士
6,5,9,マルケサス,牡7,57,戸崎圭太,1:53.4,アタマ,13.7,6,480(-4),[西] 吉田直弘
7,4,6,レッドルグラン,牡4,57,ベリー,1:53.4,クビ,38.9,10,508(-2),[西] 大久保龍
8,8,14,アバオアクー,牡4,57,吉田豊,1:53.5,クビ,19.0,7,502(0),[東] 新開幸一
9,1,1,タマモネイヴィー,牡5,57,森一馬,1:53.9,2.1/2,59.8,12,500(0),[西] 中竹和也
10,2,2,タマモマズルカ,牡5,57,柴田善臣,1:54.1,1.1/2,88.3,13,532(+2),[東] 伊藤圭三
11,3,5,ポムフィリア,牝4,55,三浦皇成,1:54.3,1,42.6,11,474(+12),[東] 高橋裕
12,3,4,セイカアヴァンサ,牡4,57,柴田大知,1:54.5,1,217.5,14,452(0),[東] 相沢郁
13,6,11,セブンフォース,牡6,57,嘉藤貴行,1:54.6,1/2,378.3,15,556(-2),[西] 高野友和
14,7,12,エクストラゴールド,牡5,57,的場勇人,1:54.7,3/4,32.1,9,516(-16),[西] 千田輝彦
15,2,3,クラシックメタル,牡5,57,柴山雄一,1:59.8,大,7.2,3,512(+10),[東] 二ノ宮敬
