着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,11,マツリダダイキチ,牡2,54,蛯名正義,1:12.3,,7.8,4,504(+8),[東] 国枝栄
2,7,14,シャインヴィットゥ,牡2,53,石川裕紀,1:12.3,クビ,4.2,2,464(+4),[東] 小野次郎
3,5,9,ホワイトファング,牡2,51,木幡巧也,1:12.4,1/2,2.4,1,474(-4),[東] 牧光二
4,7,13,ノットオンリー,牡2,54,田辺裕信,1:12.6,1.1/4,14.1,5,418(-4),[東] 大和田成
5,8,16,サノサマー,牡2,54,勝浦正樹,1:13.1,3,36.4,8,444(+6),[東] 中舘英二
6,4,7,コスモクウェンチ,牡2,54,柴田大知,1:13.3,1,40.0,9,470(+8),[東] 中川公成
7,3,6,ペラッチ,牡2,54,内田博幸,1:13.5,1.1/4,47.9,11,468(0),[東] 手塚貴久
8,3,5,アペリラルビー,牝2,54,菅原隆一,1:13.5,ハナ,201.8,16,466(-4),[東] 古賀史生
9,2,3,セツナイキモチ,牝2,54,杉原誠人,1:13.6,クビ,58.8,12,434(0),[東] 星野忍
10,6,12,ニシノキスミー,牝2,54,吉田豊,1:13.6,クビ,16.5,6,448(-4),[東] 竹内正洋
11,2,4,アミーコドーロ,牝2,54,松岡正海,1:13.7,クビ,5.7,3,466(-4),[東] 伊藤伸一
12,1,2,ウインポディオ,牡2,54,丹内祐次,1:13.9,1.1/2,162.9,15,448(-4),[東] 高木登
13,4,8,シバクサ,牡2,52,原田和真,1:14.2,1.3/4,161.8,14,456(+4),[東] 土田稔
14,1,1,フジトキメキ,牝2,51,野中悠太,1:14.5,2,161.4,13,434(-2),[東] 高市圭二
15,8,15,ディーエスレイダー,牡2,54,黛弘人,1:14.7,3/4,41.7,10,450(-2),[東] 伊藤圭三
16,5,10,オレイアス,牡2,54,岩部純二,1:15.1,2.1/2,29.8,7,456(+10),[東] 南田美知
