着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,10,クロフネビームス,牝4,55,吉田豊,1:52.5,,2.6,1,478(-2),[東] 尾形充弘
2,5,9,コスモカナディアン,牡3,54,柴田大知,1:52.5,ハナ,10.6,4,470(+2),[東] 金成貴史
3,7,14,ソルプレーサ,牡4,57,内田博幸,1:52.5,ハナ,14.3,6,526(-2),[東] 堀井雅広
4,2,3,エバーキュート,牝4,55,戸崎圭太,1:52.5,クビ,7.2,3,442(-2),[東] 加藤征弘
5,6,11,メイスンウォー,牡6,57,長岡禎仁,1:53.1,3.1/2,49.9,12,466(+4),[東] 小島茂之
6,4,8,ディアグリスター,牡6,57,藤岡佑介,1:53.2,3/4,22.9,8,482(0),[東] 高橋裕
7,1,1,ワイルドコットン,牡5,57,勝浦正樹,1:53.3,クビ,79.4,14,480(-12),[東] 池上昌和
8,8,16,メジャーステップ,セ5,57,柴山雄一,1:53.5,1.1/4,14.5,7,496(-2),[東] 田村康仁
9,8,15,アルセナーレ,牝3,52,大野拓弥,1:53.6,1/2,5.0,2,494(-9),[東] 新開幸一
10,7,13,アバオアクー,牡4,57,吉田隼人,1:53.6,ハナ,25.6,10,506(+6),[東] 新開幸一
11,2,4,プリンシアコメータ,牝3,52,津村明秀,1:53.6,ハナ,23.7,9,470(+8),[東] 矢野英一
12,1,2,デグニティクローズ,牡5,57,石橋脩,1:53.8,1.1/2,12.1,5,540(+4),[東] 栗田徹
13,6,12,ロジテースト,牡5,57,松岡正海,1:53.9,3/4,144.2,16,458(+6),[東] 古賀慎明
14,3,6,ロックキャンディ,牝4,55,丸山元気,1:54.0,クビ,31.6,11,496(-12),[東] 根本康広
15,3,5,イデアオブクィーン,牝5,55,蛯名正義,1:54.2,1.1/4,65.9,13,422(-4),[東] 中舘英二
16,4,7,ワイルドドラゴン,牡6,57,北村宏司,1:55.3,7,134.1,15,518(0),[東] 二ノ宮敬
