着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,2,ロンドンタウン,牡3,53,川田将雅,1:51.8,,5.6,2,512(+2),[西] 牧田和弥
2,3,6,センチュリオン,牡4,57,大野拓弥,1:52.1,1.3/4,13.6,6,528(+16),[東] 田村康仁
3,5,9,クラウンシャイン,牡4,57,和田竜二,1:52.1,クビ,6.6,4,474(-14),[東] 蛯名利弘
4,7,14,クライスマイル,牡5,57,田辺裕信,1:52.2,1/2,6.9,5,466(+6),[東] 大和田成
5,3,5,コアレスキング,牡6,55,吉田豊,1:52.3,クビ,18.7,8,536(-2),[東] 尾形充弘
6,1,1,イントロダクション,牝5,54,横山典弘,1:52.4,3/4,15.2,7,446(+12),[東] 鈴木伸尋
7,6,11,アースコネクター,牡5,54,丸山元気,1:52.5,3/4,21.3,10,508(+2),[東] 和田正道
8,4,8,スノーモンキー,牡6,56,戸崎圭太,1:52.6,クビ,6.4,3,466(+4),[東] 相沢郁
9,7,13,カラクプア,牡3,53,福永祐一,1:53.2,3.1/2,4.4,1,490(+2),[西] 松田国英
10,8,15,トウショウギフト,牡7,51,武士沢友,1:53.3,1/2,78.7,13,534(0),[東] 萱野浩二
11,6,12,ミエノワンダー,牡6,56,内田博幸,1:53.3,ハナ,19.1,9,514(0),[東] 国枝栄
12,8,16,グッドマイスター,牡7,54,津村明秀,1:53.7,2.1/2,96.5,15,468(+4),[西] 安田隆行
13,5,10,コスモカウピリ,牡5,54,柴田大知,1:54.1,2.1/2,87.3,14,500(+4),[東] 高橋祥泰
14,2,4,ワトソンクリック,牡4,54,浜中俊,1:54.3,1,66.9,12,514(+8),[東] 小桧山悟
15,2,3,パワーポケット,牡4,57,オールプ,1:55.2,5,22.8,11,540(+4),[東] 二ノ宮敬
16,4,7,スズカリバー,牡4,54,黛弘人,1:55.9,4,120.5,16,490(-2),[東] 伊藤圭三
