着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,11,レイデオロ,牡2,55,ルメール,2:01.0,,1.7,1,476(0),[東] 藤沢和雄
2,8,12,コマノインパルス,牡2,55,田辺裕信,2:01.2,1.1/2,28.9,9,464(+10),[東] 菊川正達
3,3,3,アサギリジョー,牡2,55,石川裕紀,2:01.8,3.1/2,24.6,8,486(-2),[東] 相沢郁
4,1,1,ミラアイトーン,牡2,55,武幸四郎,2:01.9,1/2,8.2,3,512(+6),[西] 池江泰寿
5,5,5,ショワドゥロワ,牡2,55,戸崎圭太,2:01.9,クビ,9.8,4,494(+2),[東] 鹿戸雄一
6,6,8,キューバンマンボ,牝2,54,丸山元気,2:02.0,クビ,121.4,12,426(0),[東] 小西一男
7,4,4,ハーツブライト,牝2,54,内田博幸,2:02.0,クビ,13.9,7,490(0),[東] 尾形充弘
8,2,2,ニシノアップルパイ,牡2,55,大野拓弥,2:02.0,ハナ,52.4,10,476(+12),[東] 中舘英二
9,7,10,コリエドール,牡2,55,ムーア,2:02.1,1/2,8.2,2,502(+6),[東] 堀宣行
10,7,9,マイネルユニブラン,牡2,55,柴田大知,2:02.3,1.1/2,11.5,5,518(+2),[東] 高橋裕
11,5,6,アピールバイオ,牝2,54,木幡巧也,2:02.8,3,13.8,6,450(0),[東] 牧光二
12,6,7,アルミューテン,牝2,54,勝浦正樹,2:03.2,2.1/2,66.4,11,474(+2),[東] 南田美知
