着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,12,センチュリオン,牡4,57,柴山雄一,1:53.1,,3.1,2,530(-2),[東] 田村康仁
2,3,3,リーゼントロック,牡5,56,松岡正海,1:53.5,2.1/2,2.7,1,520(-6),[西] 矢作芳人
3,4,4,ゴールドリーガル,牡5,51,木幡初也,1:54.0,3,118.4,11,478(+2),[東] 高市圭二
4,6,8,コアレスキング,牡6,55,吉田豊,1:54.0,クビ,7.5,4,542(0),[東] 尾形充弘
5,8,11,クロスボウ,牡6,55,吉田隼人,1:54.0,ハナ,26.4,8,528(+6),[東] 国枝栄
6,7,10,ベルウッドケルン,牡4,54,柴田善臣,1:54.0,ハナ,6.9,3,476(+2),[東] 本間忍
7,5,5,イントロダクション,牝5,53,柴田大知,1:54.2,1,21.1,7,440(-6),[東] 鈴木伸尋
8,5,6,キングノヨアケ,牡4,57,石川裕紀,1:54.3,1/2,37.6,9,502(+4),[東] 相沢郁
9,1,1,シャドウチェイサー,セ4,54,北村宏司,1:54.4,クビ,14.4,6,474(0),[東] 藤沢和雄
10,7,9,シップウ,セ5,53,田中勝春,1:54.6,1.1/4,68.8,10,502(-2),[東] 伊藤正徳
11,6,7,リアライズブラザー,牡6,53,勝浦正樹,1:54.8,1.1/4,144.9,12,488(-14),[西] 森秀行
12,2,2,ダイワレジェンド,牝5,53,蛯名正義,1:54.8,クビ,12.4,5,500(+2),[東] 国枝栄
