着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,12,マイネルバールマン,牡2,55,柴田大知,1:09.9,,5.2,3,498(-2),[東] 栗田博憲
2,7,14,ドゥモワゼル,牝2,54,勝浦正樹,1:10.0,1/2,31.0,10,440(+2),[東] 粕谷昌央
3,8,15,レジーナフォルテ,牝2,54,内田博幸,1:10.1,3/4,43.0,12,478(-4),[東] 佐藤吉勝
4,8,16,ネオフレグランス,牝2,54,津村明秀,1:10.2,3/4,11.1,5,420(+8),[東] 中舘英二
5,3,6,ワイナルダム,牡2,55,宮崎北斗,1:10.2,ハナ,65.3,14,446(0),[東] 水野貴広
6,5,10,マンカストラップ,牡2,55,江田照男,1:10.2,ハナ,18.8,9,474(+6),[東] 伊藤大士
7,5,9,フクノクオリア,牡2,55,戸崎圭太,1:10.3,クビ,7.7,4,500(-6),[東] 杉浦宏昭
8,4,8,ダノンハイパワー,牡2,55,横山典弘,1:10.3,クビ,4.0,1,494(+6),[東] 菊沢隆徳
9,2,3,ショウナンマッシブ,牡2,55,蛯名正義,1:10.4,クビ,4.9,2,468(+4),[東] 田中剛
10,6,11,インフルエンサー,牡2,55,丸田恭介,1:10.5,3/4,104.6,15,438(0),[東] 谷原義明
11,1,1,キンシノクリーン,牡2,56,柴田善臣,1:10.8,2,14.1,7,430(-12),[西] 浅見秀一
12,4,7,ラッシュアウト,牡2,56,大野拓弥,1:10.9,クビ,13.1,6,434(-4),[東] 栗田徹
13,3,5,オイカケマショウ,牡2,55,木幡巧也,1:11.0,3/4,127.5,16,452(-6),[西] 谷潔
14,7,13,ウランゲル,牝2,54,丹内祐次,1:11.2,1.1/4,51.4,13,412(0),[東] 松永康利
15,1,2,ナリノメジャー,牝2,54,柴山雄一,1:11.8,4,18.8,8,464(0),[東] 上原博之
16,2,4,パストラル,牝2,54,北村宏司,1:11.9,1/2,34.4,11,466(+4),[東] 和田正道
