着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,6,ジューヌエコール,牝2,54,福永祐一,1:34.6,,3.6,2,490(+2),[西] 安田隆行
2,3,3,ボンセルヴィーソ,牡2,55,松山弘平,1:34.6,クビ,54.5,8,468(-2),[西] 池添学
3,7,8,サングレーザー,牡2,55,武豊,1:34.7,1/2,5.8,4,472(-2),[西] 浅見秀一
4,7,7,ディーパワンサ,牝2,54,ルメール,1:34.7,クビ,4.6,3,432(+10),[西] 松下武士
5,8,9,ベルカプリ,牝2,54,池添謙一,1:34.8,1/2,13.4,6,460(-2),[西] 西浦勝一
6,2,2,リナーテ,牝2,54,浜中俊,1:35.1,1.1/2,8.4,5,460(-8),[西] 須貝尚介
7,5,5,ビーカーリー,牝2,54,国分恭介,1:35.4,1.3/4,97.2,10,456(+2),[西] 西村真幸
8,1,1,タイセイスターリー,牡2,55,川田将雅,1:35.5,1/2,2.9,1,530(+8),[西] 矢作芳人
9,8,10,サンライズソア,牡2,55,幸英明,1:35.9,2.1/2,53.3,7,504(0),[西] 河内洋
10,4,4,ユノディエール,牡2,55,四位洋文,1:36.0,1/2,82.2,9,438(+8),[西] 岡田稲男
