着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,3,クイーンズリング,牝4,56,Ｍ．デム,2:12.9,,6.1,3,460(+10),[西] 吉村圭司
2,5,9,シングウィズジョイ,牝4,56,ルメール,2:12.9,クビ,61.6,12,474(0),[西] 友道康夫
3,1,1,ミッキークイーン,牝4,56,浜中俊,2:13.1,1.1/4,3.6,2,442(+10),[西] 池江泰寿
4,8,15,パールコード,牝3,54,川田将雅,2:13.2,3/4,8.4,5,504(-4),[西] 中内田充
5,7,13,プリメラアスール,牝4,56,幸英明,2:13.4,1.1/4,102.9,14,500(+8),[西] 鈴木孝志
6,2,2,マリアライト,牝5,56,蛯名正義,2:13.5,1/2,3.1,1,432(-8),[東] 久保田貴
6,6,10,シュンドルボン,牝5,56,吉田豊,2:13.5,同着,18.9,6,498(-10),[東] 矢野英一
8,5,8,タッチングスピーチ,牝4,56,ムーア,2:13.7,1.1/4,6.2,4,472(+4),[西] 石坂正
9,4,7,マキシマムドパリ,牝4,56,武豊,2:13.7,クビ,28.8,7,454(-6),[西] 松元茂樹
10,7,12,アスカビレン,牝4,56,松田大作,2:13.7,ハナ,54.2,10,470(+4),[西] 中尾秀正
11,6,11,デンコウアンジュ,牝3,54,松山弘平,2:13.9,1.1/4,51.6,9,446(+4),[西] 荒川義之
12,3,5,メイショウマンボ,牝6,56,池添謙一,2:14.0,3/4,74.6,13,488(+4),[西] 飯田祐史
13,3,4,ヒルノマテーラ,牝5,56,四位洋文,2:14.1,1/2,31.0,8,464(+2),[西] 昆貢
14,4,6,プロレタリアト,牝5,56,杉原誠人,2:14.4,2,105.6,15,428(-2),[東] 小島茂之
15,8,14,シャルール,牝4,56,福永祐一,2:14.6,1,55.2,11,466(-2),[西] 松永幹夫
