着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,モンドクラッセ,牡5,57,三浦皇成,1:41.7,,1.7,1,520(-6),[東] 清水英克
2,8,12,ビービーバーレル,牝3,50,丸田恭介,1:42.2,3,7.4,3,484(+4),[東] 中舘英二
3,4,4,ナリタスーパーワン,牡7,56,北村友一,1:42.7,3,22.5,7,480(-6),[西] 松永昌博
4,5,5,ソロル,牡6,58,勝浦正樹,1:42.8,3/4,35.9,10,496(-16),[西] 中竹和也
5,3,3,イッシンドウタイ,牡7,58,藤岡佑介,1:42.8,ハナ,18.7,5,516(-4),[東] 伊藤圭三
6,5,6,マイネルバウンス,牡7,56,丹内祐次,1:42.8,ハナ,34.9,9,492(+2),[東] 伊藤大士
7,7,9,バンズーム,牡5,56,田辺裕信,1:42.8,ハナ,5.1,2,478(+10),[東] 久保田貴
8,1,1,イースターパレード,セ7,56,菱田裕二,1:42.9,クビ,22.5,6,506(-4),[西] 平田修
9,6,8,トミケンユークアイ,セ7,56,川須栄彦,1:43.2,1.3/4,88.1,12,486(-4),[東] 和田正道
10,6,7,キープインタッチ,牡6,56,吉田隼人,1:43.2,アタマ,28.4,8,502(-4),[東] 古賀慎明
10,8,11,ヒラボクプリンス,牡6,56,四位洋文,1:43.2,同着,13.5,4,496(+4),[西] 加藤敬二
12,7,10,ヴァンヌーヴォー,牡7,57,池添謙一,1:45.0,大,52.8,11,502(0),[西] 角田晃一
