着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,5,スズカリバー,牡4,57,黛弘人,1:43.1,,5.0,3,488(-4),[東] 伊藤圭三
2,7,9,ハナズリベンジ,牝5,55,川須栄彦,1:43.1,クビ,3.2,1,488(-2),[西] 牧田和弥
3,8,10,サンライズワールド,セ6,57,古川吉洋,1:43.2,1/2,3.7,2,450(+6),[西] 石坂正
4,7,8,ベストセラーアスク,牝5,55,荻野琢真,1:43.3,クビ,25.1,8,426(0),[西] 梅田智之
5,6,6,エイシンスペーシア,セ5,57,長岡禎仁,1:44.0,4,78.8,11,444(-4),[東] 鈴木伸尋
6,3,3,アスカクイン,牝5,55,菱田裕二,1:44.0,クビ,7.9,5,498(+6),[東] 本間忍
7,4,4,ランドオザリール,牡5,57,北村友一,1:44.6,3.1/2,33.7,9,522(-16),[西] 岡田稲男
8,8,11,マイネルボルソー,牡5,57,丹内祐次,1:44.7,クビ,12.4,6,472(-6),[東] 黒岩陽一
9,1,1,ルヴァンカー,牡5,57,藤岡佑介,1:44.7,クビ,7.5,4,482(+6),[西] 小崎憲
10,6,7,ワイルドドラゴン,牡6,57,吉田隼人,1:44.8,1/2,21.3,7,518(-4),[東] 二ノ宮敬
11,2,2,サクラテイオー,牡7,57,城戸義政,1:46.0,7,66.0,10,482(-4),[西] 高橋康之
