着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,6,キングハート,牡3,56,中谷雄太,1:09.8,,5.7,2,468(-2),[東] 星野忍
2,2,4,スナークスカイ,牡3,56,鮫島良太,1:09.9,3/4,46.7,13,448(-2),[西] 川村禎彦
3,6,12,マイネルパッセ,牡3,56,津村明秀,1:10.0,3/4,35.3,11,452(+2),[東] 萱野浩二
4,7,14,ペルルクロシュ,牝3,54,丸山元気,1:10.1,3/4,60.9,15,442(+2),[東] 小笠倫弘
5,4,8,レイリオン,牝3,54,北村友一,1:10.1,ハナ,5.9,3,420(0),[西] 安田隆行
6,7,13,メイショウベニフジ,牝3,54,松山弘平,1:10.1,ハナ,35.4,12,426(-10),[西] 池添兼雄
7,8,16,サフランハート,牡3,56,松田大作,1:10.2,クビ,13.4,6,428(+2),[西] 北出成人
8,6,11,ジェスロ,牡3,56,吉田隼人,1:10.2,アタマ,32.1,10,432(+8),[西] 日吉正和
9,5,9,マイネルラック,牡3,56,丹内祐次,1:10.3,3/4,6.7,4,470(-2),[西] 梅田智之
10,1,2,スズカプリズム,牝3,54,古川吉洋,1:10.5,1.1/4,23.0,7,466(+4),[西] 橋田満
11,5,10,グリーンバシリスク,牝3,54,嶋田純次,1:10.5,アタマ,26.7,9,468(+8),[東] 武井亮
12,4,7,フルムーンソング,牡3,56,藤岡康太,1:10.5,ハナ,3.4,1,438(-10),[西] 中竹和也
13,2,3,ドナルチア,牝3,54,小牧太,1:10.6,クビ,9.8,5,428(+18),[西] 矢作芳人
14,8,17,バオバブ,牝3,54,鮫島克駿,1:10.6,クビ,69.4,16,438(+2),[西] 加用正
15,1,1,タイセイマライカ,牝3,54,幸英明,1:10.9,2,154.8,18,400(0),[西] 西村真幸
16,8,18,ゼンノトライブ,牡3,56,田中健,1:11.0,クビ,23.6,8,424(-18),[西] 浅見秀一
17,7,15,プレゼンスブルー,牝3,54,松若風馬,1:11.3,2,51.7,14,422(-6),[西] 鈴木孝志
18,3,5,ゼンノハーデース,牡3,56,バルジュ,1:11.4,クビ,91.8,17,452(-2),[西] 日吉正和
