着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,13,アペルトゥーラ,牡5,57,吉田隼人,1:08.2,,16.9,7,504(-4),[東] 国枝栄
2,8,18,トウカイインパルス,牡6,57,藤懸貴志,1:08.6,2.1/2,13.1,6,532(0),[西] 中村均
3,4,8,トウカイクローネ,牡4,57,松田大作,1:08.6,クビ,5.0,3,474(+8),[西] 中村均
4,1,1,サビーナクレスタ,セ5,57,西田雄一,1:08.7,クビ,4.1,1,492(-6),[東] 大竹正博
5,8,17,イロリ,牝5,53,鮫島克駿,1:08.7,ハナ,62.2,14,480(-6),[西] 佐々木晶
6,7,14,ティーエスバラ,牡4,57,川島信二,1:08.8,1/2,28.5,11,494(0),[西] 岩元市三
7,4,7,クラウドチェンバー,セ7,57,伊藤工真,1:08.8,アタマ,10.1,4,476(+8),[東] 萩原清
8,7,15,タタラ,牡4,55,義英真,1:08.9,1/2,25.1,10,428(+6),[東] 和田正一
9,5,10,トウシンムサシ,牡5,57,古川吉洋,1:08.9,アタマ,11.7,5,464(-2),[西] 山内研二
10,8,16,トミケンフィアブル,牡6,57,幸英明,1:08.9,クビ,154.5,17,492(+24),[東] 和田正道
11,3,6,デビュタント,牝4,55,松若風馬,1:09.0,クビ,4.4,2,456(+4),[西] 佐々木晶
12,6,12,ファイナルブロー,牡5,57,宮崎北斗,1:09.0,クビ,93.9,15,428(-4),[東] 伊藤伸一
13,6,11,コリャコリャ,牝5,55,北村友一,1:09.0,ハナ,31.5,12,466(-8),[西] 田中章博
14,2,3,レーヴドプランス,セ6,57,中谷雄太,1:09.0,ハナ,20.4,8,486(0),[西] 森田直行
15,1,2,マイネルデアデビル,牡4,57,丹内祐次,1:09.1,3/4,24.3,9,498(0),[東] 栗田博憲
16,2,4,ビアンコカンドーレ,牝5,55,丸田恭介,1:09.2,クビ,47.0,13,464(0),[西] 西村真幸
17,5,9,クリノツネチャン,牝5,55,嶋田純次,1:09.4,1.1/2,184.5,18,444(-2),[東] 星野忍
18,3,5,テセラレフィナード,牝4,55,酒井学,1:09.5,3/4,106.3,16,454(-6),[東] 天間昭一
