着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,10,キャンベルジュニア,牡4,55,藤岡佑介,1:45.5,,1.7,1,516(-4),[東] 堀宣行
2,5,7,フェルメッツァ,牡5,57,吉田隼人,1:46.1,3.1/2,5.0,2,462(+6),[西] 松永幹夫
3,6,8,ザトゥルーエアー,牡5,57,松若風馬,1:46.1,ハナ,12.8,4,474(+4),[西] 高橋義忠
4,8,12,レッドソロモン,牡4,56,バルジュ,1:46.1,クビ,10.1,3,492(+12),[西] 庄野靖志
5,3,3,ブリュネット,牝6,55,川須栄彦,1:46.3,1,21.6,8,484(+2),[西] 千田輝彦
6,1,1,ピースオブジャパン,牡4,56,鮫島克駿,1:46.3,ハナ,19.0,6,484(-2),[西] 宮徹
7,8,13,タブレットピーシー,牡5,57,丸田恭介,1:46.6,2,18.0,5,470(-10),[東] 宗像義忠
8,4,5,サングラス,牡5,57,幸英明,1:46.6,ハナ,20.2,7,502(+2),[西] 谷潔
9,6,9,ポセイドンバローズ,牡6,57,津村明秀,1:47.1,3,42.8,11,480(-4),[西] 武田博
10,7,11,ベリーフィールズ,牝8,55,酒井学,1:47.1,クビ,37.0,9,462(-10),[西] 庄野靖志
11,4,4,ブレークビーツ,セ6,57,松田大作,1:47.5,2.1/2,94.0,12,458(+4),[西] 角田晃一
12,2,2,コモノドラゴン,牡8,57,北村友一,1:47.9,2.1/2,216.8,13,490(+4),[西] 加藤敬二
13,5,6,サマールナ,牝7,55,古川吉洋,1:48.6,4,40.7,10,464(-2),[西] 木原一良
