着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,8,ドルチャーリオ,牡3,54,池添謙一,1:30.6,,5.7,3,446(-2),[西] 池添兼雄
2,4,5,プルメリアスター,牝4,55,菱田裕二,1:30.7,1/2,11.9,7,438(0),[西] 矢作芳人
3,4,6,レーヴドプランス,セ6,57,井上敏樹,1:30.7,クビ,53.8,10,494(+14),[東] 柴田政人
4,3,3,マイネルエスパス,牡4,57,松岡正海,1:30.8,3/4,11.1,6,504(-2),[東] 菊川正達
5,5,7,ペイシャマリヤ,牝3,52,黛弘人,1:31.3,3,70.3,11,444(+4),[東] 松永康利
6,7,11,エクストラファイン,牝4,55,ルメール,1:31.4,3/4,7.1,4,460(+2),[東] 矢野英一
7,6,10,ニシノカブケ,牡4,57,勝浦正樹,1:31.5,1/2,8.0,5,494(+10),[東] 萱野浩二
8,1,1,タイキレガトゥス,牡4,57,横山和生,1:31.7,1,16.5,8,466(0),[西] 音無秀孝
9,6,9,ラシーム,牝3,52,丸山元気,1:31.8,1/2,87.8,12,454(-2),[東] 栗田徹
10,2,2,グランプリアクセル,牡3,54,坂井瑠星,1:31.9,クビ,40.7,9,460(+2),[西] 矢作芳人
11,8,13,ハワイアンリズ,牝5,55,柴山雄一,1:31.9,クビ,250.5,14,418(+2),[西] 森田直行
12,3,4,ジェイシックス,牡3,54,丹内祐次,1:32.4,3,118.4,13,498(0),[西] 田所秀孝
13,8,14,シンシアズブレス,牝3,52,吉田隼人,1:33.6,7,3.9,1,478(0),[西] 池江泰寿
14,7,12,フェイブルネージュ,牝5,55,モレイラ,1:34.1,3,4.1,2,456(-6),[西] 加用正
