着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,6,ジュンスパーヒカル,牡4,55,フォーリ,2:26.8,,7.3,4,462(+2),[西] 友道康夫
2,4,5,ルミナスウォリアー,牡5,57,戸崎圭太,2:26.9,3/4,3.1,1,482(+10),[東] 和田正一
3,3,3,グランドサッシュ,牡5,57,ルメール,2:27.0,1/2,9.9,5,466(+24),[東] 武市康男
4,7,10,ミュゼダルタニアン,牡4,54,丸山元気,2:27.1,3/4,4.8,2,514(+2),[東] 高市圭二
5,6,8,シークレットパス,牡5,54,吉田豊,2:27.2,1/2,69.0,12,456(+2),[東] 尾形和幸
6,1,1,エバーシャルマン,牝4,52,内田博幸,2:27.3,3/4,5.1,3,458(+2),[東] 堀宣行
7,5,7,ショウナンマルシェ,セ5,56,三浦皇成,2:27.4,1/2,84.7,13,478(-4),[東] 二ノ宮敬
8,8,12,マイネルリード,牡4,54,柴田大知,2:27.5,1/2,43.3,9,498(-4),[東] 萱野浩二
9,8,13,イメージガール,牝6,52,石川裕紀,2:27.6,クビ,56.1,10,484(+2),[東] 相沢郁
10,7,11,クインズストーム,牡5,55,嘉藤貴行,2:27.6,ハナ,25.7,8,494(+6),[東] 奥平雅士
11,4,4,タイセイグルーヴィ,牡7,54,松岡正海,2:27.7,1/2,58.4,11,476(+4),[東] 池上昌弘
12,6,9,ビップレボルシオン,牡5,55,横山典弘,2:28.1,2.1/2,10.9,6,512(0),[西] 清水久詞
13,2,2,キズナエンドレス,牝5,52,丸田恭介,2:28.2,3/4,13.1,7,476(0),[東] 宗像義忠
