着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,13,エイシンバッケン,牡4,57,石川裕紀,1:23.3,,7.5,4,504(-16),[西] 中尾秀正
2,4,8,サングラス,牡5,57,二本柳壮,1:24.0,4,6.3,3,496(-8),[西] 谷潔
3,7,14,アールプロセス,牡5,57,ルメール,1:24.2,1,2.5,1,516(-2),[東] 萩原清
4,5,9,ビッグリバティ,牡7,57,津村明秀,1:24.4,1.1/2,50.6,11,514(-8),[東] 大和田成
5,3,6,メイショウカノン,牡5,57,田中勝春,1:24.4,ハナ,16.4,6,480(-2),[東] 小島太
6,8,16,マッチレスヒーロー,牡5,57,戸崎圭太,1:24.4,アタマ,7.9,5,474(-6),[東] 金成貴史
7,6,11,ロードフォワード,牡5,57,丹内祐次,1:24.6,1,42.7,9,462(0),[西] 高野友和
8,8,15,イーグルカザン,牡8,57,吉田豊,1:24.7,1/2,144.9,14,530(-2),[東] 伊藤大士
9,2,3,グラスエトワール,牝4,55,木幡初広,1:24.8,1/2,22.6,7,486(-8),[東] 牧光二
10,2,4,ルミナスパレード,牝5,55,石橋脩,1:24.9,3/4,61.0,13,478(-4),[西] 藤原英昭
11,1,2,ショウナンダイラ,牡6,57,村田一誠,1:25.1,3/4,287.0,16,548(+10),[東] 二ノ宮敬
12,6,12,ベック,牡5,57,蛯名正義,1:25.1,クビ,5.1,2,500(-6),[西] 牧浦充徳
13,1,1,コスタアレグレ,牡6,57,畑端省吾,1:25.3,1,44.8,10,478(-6),[西] 吉村圭司
14,3,5,ミヤジマッキー,牡6,57,松岡正海,1:25.6,1.3/4,28.5,8,502(-6),[西] 牧田和弥
15,5,10,ローレンルーナ,セ7,57,武士沢友,1:26.0,2.1/2,245.1,15,484(+2),[東] 田村康仁
16,4,7,メイショウワコン,牡5,57,柴田大知,1:26.2,1.1/2,54.6,12,506(-6),[西] 河内洋
