着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,7,トーセンラムセス,牡4,57,菅原隆一,1:35.6,,9.1,5,508(+2),[東] 奥平雅士
2,3,6,ディアコンチェルト,牡4,57,大野拓弥,1:35.6,ハナ,7.5,4,456(0),[東] 高木登
3,2,4,コティニャック,牡4,57,戸崎圭太,1:36.0,2.1/2,2.5,1,522(-8),[東] 南田美知
4,6,12,ロッジポールパイン,牡3,54,横山典弘,1:36.3,1.3/4,19.9,7,512(-2),[東] 金成貴史
5,8,15,レッドゲルニカ,牡3,54,柴田善臣,1:36.3,ハナ,4.1,2,550(+2),[東] 藤沢和雄
6,5,10,ラインフェルス,牡4,57,石橋脩,1:36.3,クビ,14.9,6,480(0),[東] 斎藤誠
7,8,16,エメラルエナジー,牡4,57,吉田豊,1:36.6,1.3/4,23.3,8,492(+2),[東] 相沢郁
8,5,9,デジタルフラッシュ,牡5,57,木幡巧也,1:36.7,クビ,73.4,10,464(+4),[東] 杉浦宏昭
9,3,5,レッツゴースター,牡4,57,嘉藤貴行,1:36.8,3/4,78.8,11,456(+2),[東] 大和田成
10,1,2,ヌーナ,牝4,55,蛯名正義,1:36.8,クビ,52.9,9,520(0),[東] 小島茂之
11,6,11,ベラポーサ,牝3,52,石川裕紀,1:37.1,1.3/4,7.1,3,486(+2),[東] 堀宣行
12,7,13,インパルション,セ7,57,西田雄一,1:37.5,2.1/2,350.9,14,466(+2),[東] 大江原哲
13,2,3,ダイワチャーチル,牡3,54,江田照男,1:37.7,1.1/4,372.4,15,496(+2),[東] 国枝栄
14,1,1,スケロク,牡4,57,柴田大知,1:37.8,1/2,125.2,12,502(0),[東] 松山将樹
15,4,8,ユアザスター,牡3,54,松岡正海,1:42.0,大,386.4,16,490(+2),[東] 伊藤圭三
16,7,14,ジーアイウォーカー,牡4,57,田中勝春,1:42.4,2.1/2,208.4,13,486(+10),[東] 谷原義明
