着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,5,シゲルコング,牡2,55,内田博幸,1:23.9,,10.2,4,506(+4),[東] 松永康利
2,7,13,シゲルベンガルトラ,牡2,55,柴山雄一,1:23.9,ハナ,11.1,5,444(+4),[西] 服部利之
3,2,3,レッドオーガー,牡2,55,北村宏司,1:23.9,ハナ,27.5,7,482(+2),[東] 藤沢和雄
4,1,2,グッドヒューマー,牡2,55,勝浦正樹,1:24.0,3/4,20.4,6,464(+8),[東] 高橋裕
5,5,10,サザンボルケーノ,牡2,55,松岡正海,1:24.1,クビ,46.9,9,472(+6),[西] 加用正
6,4,7,ヴォーガ,牡2,55,大野拓弥,1:24.3,1,48.4,11,448(0),[東] 高木登
7,2,4,ファンヴィー,牡2,55,田辺裕信,1:24.3,アタマ,50.6,12,516(-2),[東] 黒岩陽一
8,1,1,アフターバーナー,牡2,55,戸崎圭太,1:24.4,1/2,8.2,3,502(+16),[東] 伊藤圭三
9,6,12,イナズママンボ,牝2,54,蛯名正義,1:24.6,1.1/2,76.1,13,444(-4),[西] 松元茂樹
10,8,15,アイルキャッチユー,牝2,54,津村明秀,1:24.9,1.1/2,80.5,14,480(-16),[東] 奥平雅士
11,3,6,マルカソレイユ,牝2,54,和田竜二,1:25.2,1.3/4,1.8,1,456(-2),[西] 今野貞一
12,4,8,バレーロ,牡2,55,Ｍ．デム,1:25.5,2,5.9,2,472(+2),[西] 高野友和
13,7,14,ハッピーランラン,牝2,54,石橋脩,1:25.7,1.1/4,32.5,8,478(+2),[東] 手塚貴久
14,5,9,ユニルドール,牝2,54,柴田善臣,1:26.0,1.3/4,225.3,15,438(+2),[東] 池上昌弘
15,6,11,トウケイライデン,牡2,55,吉田豊,1:28.0,大,47.5,10,496(+4),[西] 清水久詞
16,8,16,セイプレジール,牡2,55,野中悠太,1:28.0,ハナ,575.5,16,474(+10),[東] 小西一男
