着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,10,アシュワガンダ,牡3,56,勝浦正樹,2:00.0,,21.5,8,472(0),[東] 本間忍
2,6,6,イチダイ,牡3,56,津村明秀,2:00.4,2.1/2,14.5,5,516(+2),[地] 板垣吉則
3,3,3,モーゼス,牡3,56,川須栄彦,2:00.7,1.3/4,4.5,2,500(-8),[東] 大江原哲
4,2,2,スクエアフォールド,セ3,56,丸田恭介,2:00.9,1,33.5,9,464(-4),[東] 伊藤圭三
5,7,8,メイショウカクオビ,牡3,56,川島信二,2:01.1,1.1/2,16.8,7,476(-2),[西] 南井克巳
6,5,5,シャインレッド,牡3,56,吉田隼人,2:01.3,1.1/4,5.9,3,496(-12),[東] 武井亮
7,1,1,ギャラントグリフ,牡3,56,木幡巧也,2:01.5,1.1/2,12.5,4,498(-8),[東] 牧光二
8,4,4,ペイシャマリヤ,牝3,54,西田雄一,2:02.2,4,52.4,10,444(-8),[東] 松永康利
9,6,7,シベリウス,牡3,56,村田一誠,2:02.3,1/2,116.2,11,446(0),[東] 藤原辰雄
10,8,11,ステイパーシスト,牡3,56,北村友一,2:02.3,ハナ,2.0,1,412(-4),[東] 尾関知人
11,7,9,グランドサッチャー,牝3,54,中谷雄太,2:03.7,9,16.4,6,492(+2),[西] 岩元市三
