着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,4,ショコラブラン,牡4,57,丸田恭介,1:08.5,,4.0,2,470(0),[西] 浅見秀一
2,4,7,フライングニンバス,牝4,55,吉田隼人,1:08.7,1.1/2,2.8,1,508(0),[西] 野中賢二
3,7,14,アレット,セ5,56,石橋脩,1:08.8,3/4,5.1,3,510(-6),[西] 岡田稲男
4,1,2,スズカプリオール,牡5,54,長岡禎仁,1:08.9,1/2,95.1,15,500(-4),[東] 柄崎孝
5,5,10,ワキノハガクレ,牡4,54,津村明秀,1:08.9,ハナ,39.8,11,422(-4),[西] 松下武士
6,3,6,ドリームカイザー,牡5,53,川須栄彦,1:08.9,アタマ,30.4,9,512(0),[西] 飯田雄三
7,1,1,ベストリーダー,牝5,53,井上敏樹,1:09.3,2.1/2,23.9,7,454(+4),[東] 中舘英二
8,4,8,チェリーサマー,牡4,55,勝浦正樹,1:09.4,クビ,15.9,5,514(-2),[東] 小西一男
9,6,12,ナリタモード,牝5,54,藤懸貴志,1:09.5,1/2,25.7,8,440(+2),[西] 藤沢則雄
10,7,13,アヴァール,牝5,52,岩崎翼,1:09.5,クビ,49.8,13,446(-8),[西] 牧浦充徳
11,2,3,スキースクール,牝4,52,丸山元気,1:09.5,ハナ,43.6,12,472(-4),[西] 西浦勝一
12,3,5,オーガンディー,牝5,51,加藤祥太,1:09.9,2.1/2,139.3,16,448(+16),[東] 和田雄二
13,8,16,テイエムシャンパン,牡4,54,古川吉洋,1:10.1,1.1/4,83.3,14,470(-16),[西] 山内研二
14,8,15,タガノヴェルリー,牝4,53,北村友一,1:10.4,1.3/4,8.6,4,446(0),[西] 今野貞一
15,5,9,セイウンチカラ,牡6,54,藤田菜七,1:10.5,クビ,37.2,10,496(-8),[東] 根本康広
16,6,11,ワンダフルラスター,牡4,54,松若風馬,1:10.5,ハナ,21.7,6,520(-12),[西] 音無秀孝
