着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,カレンリスベット,牝5,55,吉田隼人,2:00.5,,7.8,5,484(-2),[東] 国枝栄
2,7,12,プリメラアスール,牝4,55,菱田裕二,2:00.6,3/4,4.6,1,490(-6),[西] 鈴木孝志
3,3,4,ノーブルソニック,牝4,55,北村友一,2:00.9,2,8.7,6,462(-6),[西] 斉藤崇史
4,3,5,トーホウハニー,牝4,55,津村明秀,2:00.9,クビ,5.8,2,434(-10),[東] 田中清隆
5,7,13,ヴァンデミエール,牝5,55,伊藤工真,2:01.0,3/4,6.7,4,434(-8),[東] 伊藤大士
6,4,7,ウインティアラ,牝4,55,黛弘人,2:01.0,アタマ,45.1,12,418(-6),[東] 畠山吉宏
7,5,8,アマレッティ,牝4,55,丸山元気,2:01.0,ハナ,16.0,8,460(-8),[東] 久保田貴
8,2,2,ダブルフラワー,牝4,55,丹内祐次,2:01.2,1.1/4,28.5,11,484(-2),[東] 佐藤吉勝
9,2,3,ゴージャスガール,牝4,55,丸田恭介,2:01.3,クビ,19.8,9,428(-12),[東] 大竹正博
10,6,11,アンジェリー,牝4,55,木幡初也,2:01.6,1.1/2,174.2,14,450(-10),[東] 宗像義忠
11,6,10,リプカ,牝4,55,加藤祥太,2:01.6,クビ,114.3,13,372(-8),[西] 高橋康之
12,8,15,オデッタ,牝4,55,横山和生,2:01.7,クビ,5.9,3,456(0),[西] 中尾秀正
13,4,6,シンキングジョリー,牝4,55,西村太一,2:01.8,1/2,214.4,15,486(-6),[東] 田島俊明
14,8,14,テイエムフタエマル,牝4,55,岩崎翼,2:01.8,アタマ,14.0,7,468(+10),[西] 岩元市三
15,5,9,ナイトブルーミング,牝6,55,中井裕二,2:02.8,6,21.5,10,462(-4),[東] 根本康広
