着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,8,アピールバイオ,牝2,51,木幡巧也,1:51.2,,23.2,7,438(0),[東] 牧光二
2,4,6,ウインクバック,牝2,54,柴田大知,1:52.5,8,4.5,2,422(0),[東] 水野貴広
3,1,1,セイウングロリアス,牡2,54,柴山雄一,1:52.6,3/4,34.2,8,464(0),[東] 武市康男
4,2,3,アポロストロング,牡2,54,丸田恭介,1:52.8,1.1/4,90.5,11,482(0),[東] 栗田徹
5,6,11,リンガスネオ,牡2,54,田辺裕信,1:52.9,クビ,8.9,4,466(0),[東] 中舘英二
6,8,14,ジェイケイマヤヒメ,牝2,54,柴田善臣,1:52.9,アタマ,54.0,10,456(0),[東] 的場均
7,6,10,イタリアンホワイト,牝2,53,石川裕紀,1:53.0,3/4,4.5,3,492(0),[東] 相沢郁
8,3,4,ノーブルムーン,牝2,54,戸崎圭太,1:53.2,3/4,2.8,1,418(0),[東] 田村康仁
9,5,9,スダチチャン,牝2,54,横山典弘,1:53.9,4,100.1,13,398(0),[東] 小野次郎
10,4,7,ビーハッピー,牡2,54,嘉藤貴行,1:53.9,アタマ,157.5,14,458(0),[東] 大和田成
11,7,12,ピースワンデュー,牡2,54,津村明秀,1:54.2,1.3/4,13.3,5,468(0),[東] 大竹正博
12,8,15,ラヴブロッサム,牝2,54,江田照男,1:54.8,3.1/2,181.1,15,430(0),[東] 田村康仁
13,7,13,パンプキンカート,牡2,54,岩部純二,1:55.1,2,99.5,12,496(0),[東] 谷原義明
14,2,2,マグニフィセント,牡2,54,内田博幸,1:55.1,アタマ,18.0,6,510(0),[東] 菊沢隆徳
15,3,5,シンボリバロン,牡2,54,田中勝春,1:55.3,1,50.0,9,462(0),[東] 尾形和幸
