着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,ゼーヴィント,牡3,54,戸崎圭太,1:47.0,,4.0,1,482(-2),[東] 木村哲也
2,3,6,ダイワドレッサー,牝3,53,石川裕紀,1:47.2,1.1/4,17.4,9,452(+6),[東] 鹿戸雄一
3,8,15,アーバンキッド,牡3,56,福永祐一,1:47.2,アタマ,10.3,5,472(+6),[東] 斎藤誠
4,2,3,アップクォーク,牡3,53,柴山雄一,1:47.3,クビ,7.7,3,496(-6),[東] 中川公成
5,8,16,ブラックスピネル,牡3,57,武豊,1:47.3,ハナ,4.1,2,498(-4),[西] 音無秀孝
6,2,4,ジョルジュサンク,牡3,56,田辺裕信,1:47.3,クビ,13.4,6,496(-12),[西] 鮫島一歩
7,5,10,ナイトオブナイツ,牡3,54,松山弘平,1:47.5,1,14.1,8,438(+2),[西] 池添兼雄
8,4,7,ミライヘノツバサ,牡3,53,内田博幸,1:47.5,クビ,17.7,10,494(+12),[東] 伊藤大士
9,6,12,ロードヴァンドール,牡3,53,四位洋文,1:47.6,1/2,9.4,4,478(+4),[西] 昆貢
10,3,5,ストーミーシー,牡3,56,江田照男,1:47.6,ハナ,13.6,7,516(-8),[東] 斎藤誠
11,7,13,ピックミータッチ,牡3,53,杉原誠人,1:47.6,アタマ,33.0,11,526(+14),[東] 藤沢和雄
12,1,2,キングハート,牡3,52,嘉藤貴行,1:47.7,3/4,121.4,16,478(+4),[東] 星野忍
13,4,8,トモトモリバー,牝3,50,丸田恭介,1:47.9,1.1/4,45.7,12,458(0),[東] 本間忍
14,7,14,カネノイロ,牡3,52,田中勝春,1:48.2,1.3/4,114.3,15,446(-8),[東] 佐藤吉勝
15,6,11,ミエノドリーマー,牡3,53,蛯名正義,1:48.6,2.1/2,67.1,13,452(+6),[東] 国枝栄
16,5,9,カープストリーマー,牡3,53,中谷雄太,1:51.6,大,88.4,14,512(-6),[西] 清水久詞
