着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,5,フィリグラーナ,牡5,60,五十嵐雄,3:04.6,,12.6,5,450(-6),[東] 岩戸孝樹
2,8,13,メイショウソラーレ,牡6,60,高田潤,3:04.7,3/4,9.5,4,504(-8),[西] 中内田充
3,7,11,ジュールドトネール,牡6,60,小野寺祐,3:04.8,1/2,7.5,3,506(+4),[東] 宗像義忠
4,8,12,ディープフォンテン,セ5,60,浜野谷憲,3:04.9,クビ,18.0,8,464(-2),[東] 戸田博文
5,2,2,ハギノパトリオット,セ4,60,熊沢重文,3:04.9,クビ,16.1,6,460(+6),[西] 松田国英
6,1,1,ワンダービゴローソ,牡5,60,草野太郎,3:07.5,大,97.5,11,478(-4),[東] 畠山吉宏
7,4,4,ユアーザワン,牡4,60,高野和馬,3:07.6,1/2,204.5,13,484(+4),[東] 高橋文雅
8,5,7,エーシングングン,牡7,60,西谷誠,3:08.8,7,6.0,2,462(-20),[西] 田所秀孝
9,3,3,クラウンテイラー,牡4,60,石神深一,3:09.1,1.3/4,17.0,7,440(-8),[東] 田島俊明
10,5,6,ニシノファブレッド,牡8,60,大江原圭,3:09.6,3,62.1,10,490(-4),[東] 根本康広
11,6,9,プロスパー,牡5,60,中村将之,3:09.7,クビ,1.8,1,496(0),[西] 宮本博
12,7,10,シゲルメジロ,牡3,58,植野貴也,3:10.9,7,106.8,12,436(-6),[東] 松永康利
13,6,8,プレイリースター,牝6,58,山本康志,3:11.0,1/2,54.6,9,454(+32),[東] 小笠倫弘
