着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,14,オールインワン,牡3,56,岩田康誠,1:11.2,,3.6,1,482(+12),[西] 浜田多実
2,1,1,サルドナ,牝3,53,中井裕二,1:11.4,1,4.8,2,478(-2),[西] 中内田充
3,6,11,クラウンアイリス,牝5,55,北村友一,1:11.4,クビ,6.7,4,404(-4),[西] 大根田裕
4,3,6,アスクジョーダン,牡4,57,津村明秀,1:11.5,3/4,7.7,5,500(+2),[西] 野中賢二
5,6,12,サウンドカール,牡5,55,義英真,1:11.7,1.1/4,16.2,7,470(0),[西] 安達昭夫
6,2,3,グリニッチヴィレジ,牝3,53,長岡禎仁,1:11.7,クビ,38.4,10,428(-6),[東] 岩戸孝樹
7,8,15,ツクバアラモード,牝6,53,原田和真,1:11.7,アタマ,67.3,14,470(0),[東] 田中清隆
8,2,4,ラシーム,牝3,54,秋山真一,1:11.8,クビ,89.8,16,464(+6),[東] 栗田徹
9,3,5,エクスシア,牝5,55,西田雄一,1:12.1,1.3/4,42.3,11,438(+2),[東] 大江原哲
10,1,2,ダイメイプリンセス,牝3,54,黛弘人,1:12.1,ハナ,6.5,3,494(-6),[西] 森田直行
11,7,13,ケイエスフェアリー,牝3,52,伴啓太,1:12.1,クビ,30.4,9,482(+8),[東] 高柳瑞樹
12,4,8,ウインハートビート,牡3,56,吉田隼人,1:12.1,ハナ,17.5,8,474(+16),[西] 宮本博
13,4,7,リップルトウショウ,牝3,52,木幡巧也,1:12.2,クビ,14.9,6,452(+6),[東] 武井亮
14,8,16,ティーエスバラ,牡4,54,森裕太朗,1:12.8,3.1/2,87.2,15,512(0),[西] 岩元市三
15,5,10,アロースコルトン,牡3,56,宮崎北斗,1:12.9,3/4,65.1,13,464(-6),[東] 蛯名利弘
16,5,9,マイネルロタシオン,牡3,56,丸山元気,1:13.5,3.1/2,54.5,12,484(+4),[東] 菊沢隆徳
