着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,4,ウィッシュハピネス,牝4,55,戸崎圭太,1:10.1,,5.7,4,484(-10),[西] 沖芳夫
2,3,3,スマートアヴァロン,牡4,57,ルメール,1:10.1,クビ,4.0,2,512(0),[西] 西園正都
3,8,11,ゴーインググレート,牡6,57,池添謙一,1:10.2,クビ,27.9,9,482(+2),[西] 岩元市三
4,8,12,ガンジー,牡5,57,武幸四郎,1:10.2,クビ,17.1,6,506(-2),[西] 宮本博
5,6,7,サンライズネオ,牡6,57,和田竜二,1:10.3,クビ,18.8,7,482(+2),[西] 石坂正
6,1,1,サンライズネガノ,牡6,57,鮫島克駿,1:10.5,1.1/4,29.5,10,500(-16),[西] 安田隆行
7,5,6,メイショウワダイコ,牡4,57,酒井学,1:10.7,1,26.6,8,532(+8),[西] 池添兼雄
8,5,5,センターピース,牡4,57,福永祐一,1:10.7,ハナ,10.8,5,470(-4),[西] 石坂正
9,7,9,メイショウツレヅレ,牝7,55,Ｍ．デム,1:10.7,クビ,3.4,1,450(-4),[西] 笹田和秀
10,6,8,オビーディエント,牡7,57,内田博幸,1:10.9,3/4,334.5,12,476(0),[西] 加藤敬二
11,7,10,ワディ,牝5,55,川田将雅,1:10.9,ハナ,4.8,3,484(-2),[西] 野中賢二
12,2,2,ロードガルーダ,牡7,57,菱田裕二,1:11.1,1.1/4,54.1,11,514(+6),[西] 池江泰寿
