着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,5,トーセンビクトリー,牝4,55,武幸四郎,1:46.6,,4.3,2,448(+2),[西] 角居勝彦
2,7,9,レッドオリヴィア,牝5,55,秋山真一,1:46.6,クビ,6.4,3,434(-6),[西] 平田修
3,6,6,ダノンムーン,牡7,57,四位洋文,1:46.7,クビ,2.3,1,454(-2),[西] 藤原英昭
4,3,3,タイセイアプローズ,牡4,57,松山弘平,1:46.9,1.1/4,16.8,7,472(0),[西] 宮本博
5,8,10,サンライズタイセイ,牡6,57,酒井学,1:47.1,1.1/4,70.8,9,476(0),[西] 浜田多実
6,8,11,ティーエスネオ,牡5,57,和田竜二,1:47.1,クビ,9.7,5,528(+8),[西] 岩元市三
7,6,7,カナロア,牡7,57,岩田康誠,1:47.1,アタマ,13.0,6,458(-2),[西] 中内田充
8,4,4,ウエスタンレベッカ,牝6,55,佐藤友則,1:47.2,3/4,36.9,8,456(-2),[西] 崎山博樹
9,1,1,ハッピーモーメント,牡6,57,小崎綾也,1:47.4,1.1/4,7.4,4,492(-4),[西] 角居勝彦
10,2,2,マイティースコール,牡8,57,熊沢重文,1:47.5,3/4,79.4,10,474(-6),[西] 宮徹
11,7,8,ブレークビーツ,セ6,57,松若風馬,1:47.8,1.3/4,159.5,11,456(-2),[西] 角田晃一
