着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,6,ベステンダンク,牡4,57,川田将雅,1:20.3,,6.3,3,494(-4),[西] 安達昭夫
2,3,4,ダノンシーザー,牡4,57,Ｍ．デム,1:20.3,クビ,1.9,1,466(0),[西] 池江泰寿
3,6,10,ムーンクレスト,牡4,57,松田大作,1:20.5,1.1/4,11.4,4,476(+4),[西] 本田優
4,4,7,ニシノラッシュ,牡4,57,浜中俊,1:20.7,1.1/2,3.7,2,482(-2),[西] 宮本博
5,8,14,カピオラニパレス,牡8,57,松山弘平,1:20.9,1.1/4,28.5,6,530(-6),[西] 今野貞一
6,8,15,ツーエムレジェンド,牡3,54,池添謙一,1:20.9,クビ,18.3,5,460(+8),[西] 池添兼雄
7,3,5,ダノンマッキンレー,牡5,57,和田竜二,1:21.1,1.1/4,65.4,10,512(0),[西] 音無秀孝
8,5,9,メイショウヤマホコ,牡6,57,秋山真一,1:21.2,クビ,75.1,11,466(0),[西] 藤沢則雄
9,7,12,ジョディーズロマン,牝6,55,酒井学,1:21.2,アタマ,314.5,15,456(+4),[西] 飯田雄三
10,1,1,エリシェヴァ,牝3,52,松若風馬,1:21.4,1.1/2,29.0,7,460(-4),[西] 角田晃一
11,6,11,アドマイヤビジン,牝5,55,岩田康誠,1:21.5,3/4,121.0,13,500(-4),[西] 梅田智之
12,2,2,ステイウェル,牡6,57,加藤祥太,1:21.5,アタマ,197.8,14,484(-6),[西] 佐々木晶
13,2,3,サイモンゼーレ,牡3,54,幸英明,1:21.6,クビ,46.1,9,448(+2),[西] 梅田智之
14,7,13,ジルダ,牝4,55,四位洋文,1:21.7,3/4,37.0,8,426(0),[西] 友道康夫
15,5,8,マーシレス,牡5,57,義英真,1:21.9,1.1/4,97.2,12,472(+6),[西] 浜田多実
